"","topic","term","beta"
"1",1,"energy",0.0378158628417053
"2",1,"water",0.0342545024092513
"3",1,"emissions",0.0250238900396522
"4",1,"waste",0.0214733763902412
"5",1,"consumption",0.0155401860657163
"6",1,"green",0.0141915693740358
"7",1,"intensity",0.0117076560571871
"8",1,"building",0.0114726424245886
"9",1,"ghg",0.0111544701219938
"10",1,"carbon",0.0109519968385243
"11",1,"properties",0.0107531391494025
"12",1,"environmental",0.0107531391494025
"13",1,"year",0.00946960315597999
"14",1,"total",0.0092237427403385
"15",1,"scope",0.00869948155992649
"16",1,"use",0.008453621144285
"17",1,"reduction",0.00814991121908079
"18",1,"reduce",0.00790766639778696
"19",1,"data",0.0077521958408372
"20",1,"buildings",0.0075063354251957
"21",1,"efficiency",0.00731470892476924
"22",1,"construction",0.00646865984741469
"23",1,"electricity",0.00616494992221048
"24",1,"tonnes",0.00565876671353682
"25",1,"gas",0.00501157532530406
"26",1,"per",0.00499711294791338
"27",1,"renewable",0.00491033868356933
"28",1,"used",0.00484887357965896
"29",1,"mark",0.00460662875836513
"30",1,"fuel",0.00439692428620032
"31",1,"million",0.00434992155968063
"32",1,"office",0.00432461239924694
"33",1,"operations",0.00429930323881326
"34",1,"efficient",0.00429930323881326
"35",1,"property",0.00418721981403552
"36",1,"recycling",0.0040606740118671
"37",1,"environment",0.00401728687969508
"38",1,"usage",0.00398113093621838
"39",1,"bca",0.00379312003013959
"40",1,"system",0.00370634576579554
"41",1,"commercial",0.00359064674667013
"42",1,"emission",0.00353641283145509
"43",1,"greenhouse",0.00352556604841209
"44",1,"solar",0.00351833485971675
"45",1,"reducing",0.00348579451058772
"46",1,"industrial",0.00338455786885299
"47",1,"target",0.00334117073668096
"48",1,"projects",0.00333393954798562
"49",1,"savings",0.00327609003842292
"50",1,"portfolio",0.00326162766103225
"51",2,"sustainability",0.0259552270552312
"52",2,"sustainable",0.0222948788709709
"53",2,"climate",0.0150895224823063
"54",2,"business",0.0138173903515393
"55",2,"global",0.0122942241469676
"56",2,"esg",0.0102486356806942
"57",2,"impact",0.00963801225792598
"58",2,"value",0.0095599881539056
"59",2,"change",0.00835909542246151
"60",2,"financial",0.00826410955669757
"61",2,"development",0.00768062495271908
"62",2,"customers",0.0074872608688425
"63",2,"will",0.00739227500307856
"64",2,"growth",0.00680539804675136
"65",2,"responsible",0.00644580869778788
"66",2,"strategy",0.00613031992935765
"67",2,"future",0.0061167505199628
"68",2,"opportunities",0.00578090763744031
"69",2,"businesses",0.00563164413409698
"70",2,"environmental",0.0055536200300766
"71",2,"across",0.00548577298310236
"72",2,"investment",0.00526527008043607
"73",2,"risks",0.00515332245292857
"74",2,"goals",0.00512279128179016
"75",2,"social",0.00508886775830304
"76",2,"innovation",0.00493621190261099
"77",2,"targets",0.00493281955026228
"78",2,"economic",0.00483444133214963
"79",2,"bank",0.00473606311403698
"80",2,"long",0.00462072313418076
"81",2,"solutions",0.00461393842948334
"82",2,"term",0.00451216785902198
