,topic,term,beta
1,1,gri,0.055020958
2,1,management,0.045942481
3,1,approach,0.042280441
4,1,material,0.022384944
5,1,assurance,0.017602627
6,1,information,0.015034443
7,1,engagement,0.013713361
8,1,governance,0.012608936
9,1,disclosures,0.011493943
10,1,economic,0.011176883
11,2,risk,0.028703792
12,2,management,0.019284186
13,2,compliance,0.017298124
14,2,business,0.017009672
15,2,policy,0.01591261
16,2,group,0.014262287
17,2,conduct,0.013893447
18,2,data,0.013084836
19,2,policies,0.011855369
20,2,ensure,0.010654275
21,3,building,0.031404902
22,3,green,0.031398845
23,3,properties,0.015027425
24,3,property,0.014258217
25,3,construction,0.012265543
26,3,buildings,0.011381256
27,3,office,0.010557537
28,3,integrated,0.010515139
29,3,tenants,0.010091166
30,3,environment,0.009533945
31,4,community,0.028463516
32,4,support,0.012967705
33,4,communities,0.011396678
34,4,public,0.011007662
35,4,social,0.009900462
36,4,project,0.009631143
37,4,children,0.009596231
38,4,activities,0.008119965
39,4,education,0.008085053
40,4,development,0.007386819
41,5,food,0.017616802
42,5,oil,0.012034567
43,5,palm,0.010976085
44,5,supply,0.010856375
45,5,products,0.010371238
46,5,operations,0.00912374
47,5,suppliers,0.008777213
48,5,connecting,0.008657504
49,5,chain,0.007895145
50,5,production,0.00783214
51,6,group,0.033216061
52,6,board,0.031537505
53,6,company,0.018119515
54,6,committee,0.017931266
55,6,corporate,0.017444955
56,6,management,0.017424039
57,6,performance,0.01552063
58,6,governance,0.013162284
59,6,manager,0.013162284
60,6,annual,0.012754411
61,7,business,0.025929915
62,7,climate,0.025139563
63,7,environmental,0.017849674
64,7,impact,0.017368591
65,7,global,0.016460423
66,7,risks,0.01387828
67,7,change,0.013745737
68,7,stakeholders,0.013515013
69,7,targets,0.011418863
70,7,strategy,0.010653056
71,8,safety,0.065000046
72,8,health,0.04625042
73,8,work,0.020217263
74,8,system,0.01150119
75,8,workplace,0.009884545
76,8,related,0.009268954
77,8,management,0.009015814
78,8,training,0.008854725
79,8,occupational,0.008359951
80,8,contractors,0.007738608
81,9,energy,0.053759276
82,9,water,0.049381214
83,9,emissions,0.036277324
84,9,waste,0.030727738
85,9,consumption,0.021108119
86,9,intensity,0.017421861
87,9,ghg,0.016624014
88,9,scope,0.014104229
89,9,reduce,0.012705471
90,9,carbon,0.012064163
91,10,employees,0.060589033
92,10,employee,0.029648583
93,10,training,0.022398822
94,10,development,0.015737029
95,10,people,0.014172812
96,10,work,0.013684687
97,10,years,0.012148204
98,10,employment,0.011887501
99,10,group,0.01187086
100,10,human,0.011698907
101,11,customers,0.024659844
102,11,customer,0.012879943
103,11,digital,0.011279694
104,11,services,0.011233235
105,11,financial,0.009617499
106,11,technology,0.009462636
107,11,solutions,0.008517973
108,11,growth,0.00801725
109,11,service,0.007862387
110,11,bank,0.007248098
