"","topic","term","beta"
"1",1,"safety",0.0141535641024208
"2",1,"group",0.0133934011145331
"3",1,"management",0.012353766439922
"4",1,"employees",0.0104310012352649
"5",1,"business",0.00898892733177202
"6",1,"training",0.00712205646445958
"7",1,"staff",0.0070661621271149
"8",1,"operations",0.00591473877781442
"9",1,"approach",0.00578059236818718
"10",1,"health",0.00569116142843569
"11",2,"customers",0.011590344139383
"12",2,"approach",0.01110258400997
"13",2,"financial",0.0100062424346838
"14",2,"management",0.00980039871034432
"15",2,"risk",0.00912916917445479
"16",2,"gri",0.00865483363575953
"17",2,"data",0.00803730246274117
"18",2,"climate",0.00688278766101118
"19",2,"employees",0.00653822316592123
"20",2,"bank",0.00623393244298464
"21",3,"company",0.0128694198415381
"22",3,"water",0.0124979037721781
"23",3,"development",0.0105887239713004
"24",3,"business",0.0104184457728437
"25",3,"management",0.0100520896488915
"26",3,"public",0.00926261800150154
"27",3,"project",0.0082615885923927
"28",3,"employees",0.00718316000216717
"29",3,"community",0.00715220032972051
"30",3,"gri",0.00636788862773832
"31",4,"safety",0.012935247228462
"32",4,"connecting",0.0116111848827286
"33",4,"employees",0.0103866185514146
"34",4,"management",0.00862630445015058
"35",4,"communities",0.00789921819093285
"36",4,"food",0.00773084032037716
"37",4,"flight",0.00672822663661377
"38",4,"people",0.00671291955747234
"39",4,"waste",0.0062766678019417
"40",4,"crew",0.00613890408966887
"41",5,"management",0.0182380011279674
"42",5,"gri",0.0170531613893905
"43",5,"approach",0.0166076616476855
"44",5,"land",0.0123517173067171
"45",5,"health",0.0105507609040801
"46",5,"safety",0.0105412821861715
"47",5,"employees",0.00994412295792871
"48",5,"environment",0.00902468732079299
"49",5,"group",0.00889198527007237
"50",5,"building",0.00854127270745359
"51",6,"management",0.00948295691203988
"52",6,"business",0.00937934521552269
"53",6,"building",0.00936276734407994
"54",6,"green",0.00862919653273819
"55",6,"gri",0.00796193720716744
"56",6,"water",0.00743558978886009
"57",6,"energy",0.00724494426726844
"58",6,"assurance",0.00684707535264241
"59",6,"carbon",0.00666886323463283
"60",6,"climate",0.00652380685950876
"61",7,"group",0.0202164228871204
"62",7,"management",0.0174422264704575
"63",7,"board",0.0116270839816832
"64",7,"business",0.0104711688080736
"65",7,"risk",0.0101581825456809
"66",7,"company",0.00770764237762859
"67",7,"safety",0.00765429244653893
"68",7,"governance",0.00764717912239363
"69",7,"performance",0.00668332370070689
"70",7,"compliance",0.00635611079002356
"71",8,"safety",0.00892913712681472
"72",8,"energy",0.00854316186564419
"73",8,"management",0.0084921840009613
"74",8,"group",0.0082882725422297
"75",8,"business",0.00769110327023002
"76",8,"team",0.00743621394681552
"77",8,"waste",0.00623459285071861
"78",8,"members",0.00590687800632854
"79",8,"people",0.0056082933703287
"80",8,"health",0.00560101081823114
"81",9,"community",0.00759260186766745
"82",9,"support",0.00655635212457104
"83",9,"environmental",0.00617293971962536
"84",9,"development",0.00616603138800472
"85",9,"training",0.0056617231796978
"86",9,"programme",0.00555809820538815
"87",9,"group",0.00530248993542437
"88",9,"employees",0.00526103994570051
"89",9,"business",0.00516432330301151
"90",9,"centre",0.00458747761268784
"91",10,"manager",0.0157979563972001
"92",10,"management",0.0139844489112403
"93",10,"employees",0.0126374216745593
"94",10,"energy",0.0106404668995574
"95",10,"properties",0.00937730128072415
"96",10,"performance",0.00920433669391296
"97",10,"water",0.00853344375113017
"98",10,"safety",0.00833951375985701
"99",10,"health",0.00816130782193034
"100",10,"business",0.00774199973269109
"101",11,"oil",0.0142531758889914
"102",11,"palm",0.0137936771387488
"103",11,"operations",0.00954727489512733
"104",11,"management",0.00796279644601484
"105",11,"mills",0.00753498726475447
"106",11,"workers",0.00641792995813016
"107",11,"supply",0.0063862403891479
"108",11,"sugar",0.00633078364342897
"109",11,"approach",0.00566530269480172
"110",11,"plantations",0.00544347571192598
