"","topic","term","beta"
"1",1,"community",0.0236228561843926
"2",1,"support",0.0168017835427645
"3",1,"programme",0.0153201571083125
"4",1,"children",0.013433180045567
"5",1,"education",0.00972911395943698
"6",1,"social",0.00937967376263227
"7",1,"students",0.00803083460296605
"8",1,"programmes",0.00760451756286429
"9",1,"staff",0.00740184224871755
"10",1,"communities",0.00726905497393176
"11",2,"company",0.0240506452114428
"12",2,"development",0.0220780861318408
"13",2,"public",0.0214659126243781
"14",2,"project",0.0213590251865672
"15",2,"community",0.0167239972014925
"16",2,"projects",0.00922244247512438
"17",2,"communities",0.00892121424129353
"18",2,"activities",0.00807583177860696
"19",2,"knowledge",0.00773573538557214
"20",2,"people",0.00769686722636816
"21",3,"safety",0.0877785285919419
"22",3,"health",0.0614925247064786
"23",3,"work",0.0284069600473013
"24",3,"workplace",0.015610271137765
"25",3,"employees",0.0153906579947631
"26",3,"system",0.0134732663231692
"27",3,"rate",0.0118515077286933
"28",3,"contractors",0.0112686882338035
"29",3,"safe",0.0100016893318692
"30",3,"occupational",0.00983275614494467
"31",4,"energy",0.0727122682227823
"32",4,"water",0.0672635613411139
"33",4,"emissions",0.0496122371465074
"34",4,"consumption",0.0274514001588343
"35",4,"intensity",0.023839646421049
"36",4,"ghg",0.0227416180380512
"37",4,"carbon",0.0217126480439211
"38",4,"scope",0.0185359621560029
"39",4,"reduction",0.0133013362798246
"40",4,"electricity",0.0123759538689962
"41",5,"customers",0.0230856412441415
"42",5,"financial",0.0213813378781423
"43",5,"million",0.0128427780144866
"44",5,"bank",0.011965061780997
"45",5,"investment",0.0112577758841074
"46",5,"financing",0.0109680443118875
"47",5,"services",0.00936599914784832
"48",5,"tax",0.00891435875585854
"49",5,"capital",0.00882062207072859
"50",5,"digital",0.00874392841925863
"51",6,"risk",0.049073005841937
"52",6,"management",0.0454061799610538
"53",6,"risks",0.03470698460521
"54",6,"climate",0.0258301796671198
"55",6,"business",0.0206055039129956
"56",6,"framework",0.0132424587573943
"57",6,"assessment",0.0126251974868648
"58",6,"change",0.0122430833670133
"59",6,"key",0.012132858140133
"60",6,"environmental",0.0120667230040048
"61",7,"oil",0.0196577062407377
"62",7,"palm",0.0179287419726659
"63",7,"operations",0.0144399390745925
"64",7,"supply",0.0127315577144739
"65",7,"mills",0.00978820187716121
"66",7,"areas",0.00945887534990943
"67",7,"conservation",0.00922217190844722
"68",7,"chain",0.00921188045447061
"69",7,"sugar",0.00904721719084472
"70",7,"land",0.00849147867610736
"71",8,"employees",0.0697511916532621
"72",8,"employee",0.0331751840975163
"73",8,"training",0.0294120685329752
"74",8,"years",0.0146473739356286
"75",8,"female",0.0143153343269926
"76",8,"development",0.0138578575328719
"77",8,"work",0.0136955270575388
"78",8,"employment",0.0128469813910246
"79",8,"gender",0.0123009607012677
"80",8,"learning",0.0121829021737526
"81",9,"waste",0.0663467837023451
"82",9,"food",0.030297174549107
"83",9,"reduce",0.0165629503471767
"84",9,"materials",0.0147069741036726
"85",9,"recycling",0.012228699943229
"86",9,"environmental",0.012064937333508
"87",9,"suppliers",0.0118138346652692
"88",9,"environment",0.0111587842263854
"89",9,"packaging",0.0111260317044412
"90",9,"products",0.0108967640508319
"91",10,"compliance",0.0264945968474726
"92",10,"policy",0.0208548921246893
"93",10,"conduct",0.020659642693541
"94",10,"business",0.0194731269196398
"95",10,"policies",0.0147871405720808
"96",10,"data",0.0144717376448413
"97",10,"code",0.0143590937422557
"98",10,"security",0.0132777122774344
"99",10,"regulations",0.0122413883736473
"100",10,"employees",0.0122188595931302
"101",11,"assurance",0.0362677089445888
"102",11,"data",0.0322019867549669
"103",11,"information",0.0319400201190376
"104",11,"standards",0.0149960181071339
"105",11,"performance",0.0121353424427865
"106",11,"accordance",0.0112236985497527
"107",11,"engagement",0.011118911895381
"108",11,"requirements",0.0109826892446978
"109",11,"management",0.0103854053147791
"110",11,"based",0.0103330119875933
"111",12,"engagement",0.0308094533387147
"112",12,"stakeholders",0.0297780169514328
"113",12,"annual",0.0289080227812906
"114",12,"governance",0.0257688685591282
"115",12,"stakeholder",0.0221633257096731
"116",12,"key",0.0168626395802502
"117",12,"corporate",0.0168447015561236
"118",12,"issues",0.0156338849275752
"119",12,"performance",0.0137503923942778
"120",12,"topics",0.0124767926812862
"121",13,"business",0.0251156111069119
"122",13,"global",0.0244353436724821
"123",13,"development",0.0146711010025355
"124",13,"future",0.013090681710426
"125",13,"goals",0.0118263462767383
"126",13,"communities",0.0113659632655585
"127",13,"innovation",0.0113522204891054
"128",13,"strategy",0.0105001683490116
"129",13,"committed",0.01038335474916
"130",13,"climate",0.010273412537535
"131",14,"board",0.0508914934730696
"132",14,"committee",0.0300238800428659
"133",14,"management",0.0278383920208592
"134",14,"company",0.0232142706461113
"135",14,"directors",0.0170375245761925
"136",14,"corporate",0.0156958543233003
"137",14,"executive",0.015678977967918
"138",14,"governance",0.0152317545502873
"139",14,"performance",0.0142529259381144
"140",14,"business",0.0127003012429436
"141",15,"gri",0.089709807282043
"142",15,"management",0.0724553463835257
"143",15,"approach",0.0690990725615689
"144",15,"material",0.0297699702755536
"145",15,"disclosure",0.016764409215471
"146",15,"topic",0.0165858840121754
"147",15,"number",0.0157378892965214
"148",15,"environmental",0.0153272813289416
"149",15,"economic",0.0146845905970775
"150",15,"evaluation",0.0137205544992814
"151",16,"green",0.0394615173216509
"152",16,"building",0.038184419405422
"153",16,"properties",0.0201191419195267
"154",16,"property",0.0176053605780889
"155",16,"buildings",0.0161504389013725
"156",16,"construction",0.0160372783265168
"157",16,"office",0.0138791445060541
"158",16,"integrated",0.0128202848413327
"159",16,"tenants",0.0126101294880292
"160",16,"land",0.0108318918831536
"161",17,"service",0.0189394755747126
"162",17,"customer",0.0185982399425287
"163",17,"customers",0.0158414152298851
"164",17,"connecting",0.0137131824712644
"165",17,"services",0.0107857399425287
"166",17,"flight",0.00789421695402299
"167",17,"experience",0.00783135775862069
"168",17,"satisfaction",0.0072027658045977
"169",17,"crew",0.00716684626436782
"170",17,"aircraft",0.00658315373563218
