"Company","Year","flesch"
"ASCENDAS REAL ESTATE INV TRUST",2015,13.728385843121
"ASCENDAS REAL ESTATE INV TRUST",2016,6.80198952640009
"ASCENDAS REAL ESTATE INV TRUST",2017,0.424857976096376
"ASCENDAS REAL ESTATE INV TRUST",2018,-5.39923235491847
"ASCENDAS REAL ESTATE INV TRUST",2019,0.797330392007979
"ASCENDAS REAL ESTATE INV TRUST",2020,1.0634656588615
"ASCENDAS REAL ESTATE INV TRUST",2021,5.38440616940625
"CAPITALAND INTEGRATED COMM TR",2015,23.4299783195899
"CAPITALAND INTEGRATED COMM TR",2016,12.2811069928342
"CAPITALAND INTEGRATED COMM TR",2017,8.59229298996596
"CAPITALAND INTEGRATED COMM TR",2018,5.04547027152128
"CAPITALAND INTEGRATED COMM TR",2019,2.68103264902302
"CAPITALAND INTEGRATED COMM TR",2020,3.39351737947231
"CAPITALAND INTEGRATED COMM TR",2021,9.6467819758812
"CAPITALAND INVESTMENT LIMITED",2021,12.0239969700862
"CITY DEVELOPMENTS LIMITED",2015,5.32218839190332
"CITY DEVELOPMENTS LIMITED",2016,5.32218839190332
"CITY DEVELOPMENTS LIMITED",2017,4.6515031545251
"CITY DEVELOPMENTS LIMITED",2018,4.78342586480068
"CITY DEVELOPMENTS LIMITED",2019,5.13969077375702
"CITY DEVELOPMENTS LIMITED",2020,0.622773972602744
"CITY DEVELOPMENTS LIMITED",2021,4.94747794465007
"COMFORTDELGRO CORPORATION LTD",2015,17.0269567907202
"COMFORTDELGRO CORPORATION LTD",2016,18.633107836913
"COMFORTDELGRO CORPORATION LTD",2017,19.3261039396378
"COMFORTDELGRO CORPORATION LTD",2018,23.4793775558699
"COMFORTDELGRO CORPORATION LTD",2019,16.0086255606275
"COMFORTDELGRO CORPORATION LTD",2020,13.5057230131188
"COMFORTDELGRO CORPORATION LTD",2021,4.94747794465007
"DAIRY FARM INT'L HOLDINGS LTD",2015,24.9264285714286
"DAIRY FARM INT'L HOLDINGS LTD",2016,22.7327108091024
"DAIRY FARM INT'L HOLDINGS LTD",2017,28.6156823394496
"DAIRY FARM INT'L HOLDINGS LTD",2018,37.7467099056604
"DAIRY FARM INT'L HOLDINGS LTD",2019,25.9381003984064
"DAIRY FARM INT'L HOLDINGS LTD",2020,22.5293901268616
"DAIRY FARM INT'L HOLDINGS LTD",2021,32.6566482286171
"DBS GROUP HOLDINGS LTD",2015,26.4332379484922
"DBS GROUP HOLDINGS LTD",2016,13.0040183713718
"DBS GROUP HOLDINGS LTD",2017,9.07333757599426
