"Company","Year","n"
"ASCENDAS REAL ESTATE INV TRUST",2015,11095
"ASCENDAS REAL ESTATE INV TRUST",2016,10420
"ASCENDAS REAL ESTATE INV TRUST",2017,12229
"ASCENDAS REAL ESTATE INV TRUST",2018,13876
"ASCENDAS REAL ESTATE INV TRUST",2019,15327
"ASCENDAS REAL ESTATE INV TRUST",2020,23340
"ASCENDAS REAL ESTATE INV TRUST",2021,32086
"CAPITALAND INTEGRATED COMM TR",2015,4336
"CAPITALAND INTEGRATED COMM TR",2016,9573
"CAPITALAND INTEGRATED COMM TR",2017,9626
"CAPITALAND INTEGRATED COMM TR",2018,10235
"CAPITALAND INTEGRATED COMM TR",2019,11178
"CAPITALAND INTEGRATED COMM TR",2020,19018
"CAPITALAND INTEGRATED COMM TR",2021,23933
"CAPITALAND INVESTMENT LIMITED",2021,38318
"CITY DEVELOPMENTS LIMITED",2015,42088
"CITY DEVELOPMENTS LIMITED",2016,42088
"CITY DEVELOPMENTS LIMITED",2017,45634
"CITY DEVELOPMENTS LIMITED",2018,68001
"CITY DEVELOPMENTS LIMITED",2019,60032
"CITY DEVELOPMENTS LIMITED",2020,68809
"CITY DEVELOPMENTS LIMITED",2021,74335
"COMFORTDELGRO CORPORATION LTD",2015,18583
"COMFORTDELGRO CORPORATION LTD",2016,23982
"COMFORTDELGRO CORPORATION LTD",2017,25243
"COMFORTDELGRO CORPORATION LTD",2018,21395
"COMFORTDELGRO CORPORATION LTD",2019,24541
"COMFORTDELGRO CORPORATION LTD",2020,25317
"COMFORTDELGRO CORPORATION LTD",2021,74335
"DAIRY FARM INT'L HOLDINGS LTD",2015,280
"DAIRY FARM INT'L HOLDINGS LTD",2016,790
"DAIRY FARM INT'L HOLDINGS LTD",2017,652
"DAIRY FARM INT'L HOLDINGS LTD",2018,790
"DAIRY FARM INT'L HOLDINGS LTD",2019,1506
"DAIRY FARM INT'L HOLDINGS LTD",2020,1810
"DAIRY FARM INT'L HOLDINGS LTD",2021,1185
"DBS GROUP HOLDINGS LTD",2015,2064
"DBS GROUP HOLDINGS LTD",2016,6684
"DBS GROUP HOLDINGS LTD",2017,7018
"DBS GROUP HOLDINGS LTD",2018,24090
"DBS GROUP HOLDINGS LTD",2019,32950
"DBS GROUP HOLDINGS LTD",2020,38975
"DBS GROUP HOLDINGS LTD",2021,48656
"FRASERS LOGISTICS & COMMERCIAL TRUST",2017,6576
"FRASERS LOGISTICS & COMMERCIAL TRUST",2018,8962
"FRASERS LOGISTICS & COMMERCIAL TRUST",2019,7402
"FRASERS LOGISTICS & COMMERCIAL TRUST",2020,16054
"FRASERS LOGISTICS & COMMERCIAL TRUST",2021,16054
"GENTING SINGAPORE LIMITED",2015,18837
"GENTING SINGAPORE LIMITED",2016,23658
"GENTING SINGAPORE LIMITED",2017,24543
"GENTING SINGAPORE LIMITED",2018,21528
"GENTING SINGAPORE LIMITED",2019,16775
"GENTING SINGAPORE LIMITED",2020,17807
"GENTING SINGAPORE LIMITED",2021,33464
"HONGKONG LAND HOLDINGS LIMITED",2015,7113
"HONGKONG LAND HOLDINGS LIMITED",2016,6358
"HONGKONG LAND HOLDINGS LIMITED",2017,6722
"HONGKONG LAND HOLDINGS LIMITED",2018,12422
"HONGKONG LAND HOLDINGS LIMITED",2019,21144
"HONGKONG LAND HOLDINGS LIMITED",2020,28688
"HONGKONG LAND HOLDINGS LIMITED",2021,41923
"JARDINE CYCLE & CARRIAGE LTD",2015,1284
"JARDINE CYCLE & CARRIAGE LTD",2016,1172
"JARDINE CYCLE & CARRIAGE LTD",2017,13625
"JARDINE CYCLE & CARRIAGE LTD",2018,17403
"JARDINE CYCLE & CARRIAGE LTD",2019,11709
"JARDINE CYCLE & CARRIAGE LTD",2020,13131
"JARDINE CYCLE & CARRIAGE LTD",2021,20420
"JARDINE MATHESON HLDGS LTD",2015,923
"JARDINE MATHESON HLDGS LTD",2016,888
"JARDINE MATHESON HLDGS LTD",2017,863
"JARDINE MATHESON HLDGS LTD",2018,825
"JARDINE MATHESON HLDGS LTD",2019,1360
"JARDINE MATHESON HLDGS LTD",2020,5975
"JARDINE MATHESON HLDGS LTD",2021,1552
"KEPPEL CORPORATION LIMITED",2015,40861
"KEPPEL CORPORATION LIMITED",2016,43207
"KEPPEL CORPORATION LIMITED",2017,46647
"KEPPEL CORPORATION LIMITED",2018,45317
"KEPPEL CORPORATION LIMITED",2019,48075
"KEPPEL CORPORATION LIMITED",2020,55625
"KEPPEL CORPORATION LIMITED",2021,64200
"KEPPEL DC REIT",2015,1393
"KEPPEL DC REIT",2016,7277
"KEPPEL DC REIT",2017,7973
"KEPPEL DC REIT",2018,9194
"KEPPEL DC REIT",2019,9437
"KEPPEL DC REIT",2020,11791
"KEPPEL DC REIT",2021,15511
"MAPLETREE COMMERCIAL TRUST",2015,2148
"MAPLETREE COMMERCIAL TRUST",2016,2322
"MAPLETREE COMMERCIAL TRUST",2017,4204
"MAPLETREE COMMERCIAL TRUST",2018,6908
"MAPLETREE COMMERCIAL TRUST",2019,9302
"MAPLETREE COMMERCIAL TRUST",2020,10875
"MAPLETREE COMMERCIAL TRUST",2021,13325
"MAPLETREE INDUSTRIAL TRUST",2015,10927
"MAPLETREE INDUSTRIAL TRUST",2016,13571
"MAPLETREE INDUSTRIAL TRUST",2017,5912
"MAPLETREE INDUSTRIAL TRUST",2018,7894
"MAPLETREE INDUSTRIAL TRUST",2019,9624
"MAPLETREE INDUSTRIAL TRUST",2020,12989
"MAPLETREE INDUSTRIAL TRUST",2021,16531
"MAPLETREE LOGISTICS TRUST",2015,1440
"MAPLETREE LOGISTICS TRUST",2016,1503
"MAPLETREE LOGISTICS TRUST",2017,4095
"MAPLETREE LOGISTICS TRUST",2018,7033
"MAPLETREE LOGISTICS TRUST",2019,8234
