Company,Year,page,afinn,bing,nrc,loughran,jockers,average_sentiment
ASCENDAS REAL ESTATE INV TRUST,2015,1,1,1,0,0,0.75,0.55
ASCENDAS REAL ESTATE INV TRUST,2015,2,7,4,15,1,8.4,7.08
ASCENDAS REAL ESTATE INV TRUST,2015,3,37,23,31,10,29,26
ASCENDAS REAL ESTATE INV TRUST,2015,4,2,6,9,0,6.55,4.71
ASCENDAS REAL ESTATE INV TRUST,2015,5,3,9,16,3,10.2,8.24
ASCENDAS REAL ESTATE INV TRUST,2015,6,23,11,27,5,21.45,17.49
ASCENDAS REAL ESTATE INV TRUST,2015,7,40,20,26,10,25.25,24.25
ASCENDAS REAL ESTATE INV TRUST,2015,8,18,2,27,-1,22.15,13.63
ASCENDAS REAL ESTATE INV TRUST,2015,9,7,3,13,-11,11.3,4.66
ASCENDAS REAL ESTATE INV TRUST,2015,10,34,15,27,4,22.1,20.42
ASCENDAS REAL ESTATE INV TRUST,2015,11,26,12,33,6,30.05,21.41
ASCENDAS REAL ESTATE INV TRUST,2015,12,14,0,8,-5,23.6,8.12
ASCENDAS REAL ESTATE INV TRUST,2015,13,22,18,20,-6,22.9,15.38
ASCENDAS REAL ESTATE INV TRUST,2015,14,7,1,20,-11,11.95,5.79
ASCENDAS REAL ESTATE INV TRUST,2015,15,37,19,33,9,23.9,24.38
ASCENDAS REAL ESTATE INV TRUST,2015,16,10,9,23,8,14.45,12.89
ASCENDAS REAL ESTATE INV TRUST,2015,17,18,19,23,5,19.1,16.82
ASCENDAS REAL ESTATE INV TRUST,2015,18,23,6,22,7,17.1,15.02
ASCENDAS REAL ESTATE INV TRUST,2015,19,47,24,38,21,33.45,32.69
ASCENDAS REAL ESTATE INV TRUST,2015,20,41,35,40,16,36.05,33.61
ASCENDAS REAL ESTATE INV TRUST,2015,21,3,5,10,0,6.95,4.99
ASCENDAS REAL ESTATE INV TRUST,2015,22,12,11,17,7,14.55,12.31
ASCENDAS REAL ESTATE INV TRUST,2015,23,0,10,11,2,12.25,7.05
ASCENDAS REAL ESTATE INV TRUST,2015,24,12,5,4,1,7.65,5.93
ASCENDAS REAL ESTATE INV TRUST,2015,25,5,6,3,-1,8.45,4.29
ASCENDAS REAL ESTATE INV TRUST,2015,26,8,8,28,-4,17.45,11.49
ASCENDAS REAL ESTATE INV TRUST,2015,27,1,2,20,-3,9.55,5.91
ASCENDAS REAL ESTATE INV TRUST,2015,28,2,6,35,3,16.9,12.58
ASCENDAS REAL ESTATE INV TRUST,2015,29,0,7,10,-6,7.65,3.73
ASCENDAS REAL ESTATE INV TRUST,2015,30,9,4,29,-12,15.75,9.15
ASCENDAS REAL ESTATE INV TRUST,2016,2,7,5,11,2,9.15,6.83
ASCENDAS REAL ESTATE INV TRUST,2016,3,19,12,27,10,28.75,19.35
ASCENDAS REAL ESTATE INV TRUST,2016,4,2,8,11,-2,10.05,5.81
