Company,Year,ROA,zmijewski_t,MV_t4,BV_t,EARN_t,NEG_t,sentiment,words,pages,flesch,t_Community,t_Resources,t_Customers,t_Employees,t_Metholodgy,t_Governance,t_Climate,w_Community,w_Resources,w_Customers,w_Employees,w_Metholodgy,w_Governance,w_Climate
ASCENDAS REAL ESTATE INV TRUST,2015,0.034872647,-2.142539308,5905.090879,5785.3,344.2,0,13.019,11095,32,13.72838584,0.070365881,0.173077627,0.14895462,0.179842363,0.171918737,0.167689833,0.08815094,780.5687154,1919.950112,1652.353601,1994.99133,1907.094546,1860.183317,977.8583801
ASCENDAS REAL ESTATE INV TRUST,2016,0.042032092,-2.383621475,7173.344598,6335.1,427.5,0,10.19733333,10420,36,6.801989526,0.058671926,0.176252046,0.133572443,0.160819644,0.174964856,0.191490192,0.104228893,611.3614679,1836.546324,1391.824856,1675.740687,1823.133799,1995.327801,1086.065065
ASCENDAS REAL ESTATE INV TRUST,2017,0.047721609,-2.436588604,8045.455163,6498.7,494.1,0,12.5902439,12229,44,0.424857976,0.067864167,0.147505449,0.138700908,0.149752152,0.144549268,0.18779645,0.163831604,829.9109026,1803.844142,1696.173408,1831.31907,1767.692995,2296.562792,2003.496691
ASCENDAS REAL ESTATE INV TRUST,2018,0.044076993,-2.311464251,8931.339742,6945.933,503.087,0,15.30785714,13876,44,-5.399232355,0.073042879,0.13991893,0.147083974,0.148204446,0.136114641,0.1984765,0.157158631,1013.542986,1941.515077,2040.937221,2056.484886,1888.726758,2754.059912,2180.73316
ASCENDAS REAL ESTATE INV TRUST,2019,0.037302075,-2.146827106,10414.55207,8111.238,517.161,0,12.2072,15327,52,0.797330392,0.07821766,0.16524913,0.132565585,0.166814224,0.144988597,0.171912682,0.140252123,1194.305446,2523.188967,2024.143912,2547.08638,2213.830889,2624.934736,2141.50967
ASCENDAS REAL ESTATE INV TRUST,2020,0.030225085,-2.242909137,12546.27192,9190.6,457.1,0,14.764,23340,60,1.063465659,0.107918152,0.187209119,0.144424341,0.14298162,0.128307732,0.151998458,0.137160577,2518.809666,4369.460841,3370.86412,3337.191013,2994.702476,3547.64402,3201.327863
ASCENDAS REAL ESTATE INV TRUST,2021,0.053974789,-2.191300657,12006.0798,10277.2,957,0,13.87320988,32086,82,5.384406169,0.097376077,0.231635185,0.112881017,0.118451551,0.127900629,0.148617919,0.163137621,3124.408821,7432.246552,3621.900315,3800.636453,4103.819581,4768.554557,5234.433721
CAPITALAND INTEGRATED COMM TR,2015,0.055988729,-2.567692318,7330.21983,6693.163,579.805,0,21.54777778,4336,9,23.42997832,0.1840068,0.201592373,0.109962382,0.200177764,0.07565585,0.139358194,0.089246637,797.8534833,874.1045299,476.796889,867.9707852,328.0437647,604.2571311,386.9734168
CAPITALAND INTEGRATED COMM TR,2016,0.045454845,-2.537967362,6944.4172,6692.222,469.4,0,21.8065,9573,20,12.28110699,0.148877479,0.193397263,0.120105536,0.194221597,0.068995867,0.173410332,0.100991925,1425.204108,1851.392,1149.770297,1859.283353,660.4974379,1660.05711,966.795694
CAPITALAND INTEGRATED COMM TR,2017,0.062606657,-2.681916784,7447.4883,6928.045,657.648,0,18.18333333,9626,24,8.59229299,0.137561948,0.165504295,0.109214451,0.196430238,0.090992991,0.200926988,0.09936909,1324.171312,1593.144341,1051.298308,1890.837467,875.8985279,1934.123185,956.5268598
