time,open,high,low,close,Volume,Volume MA
2021-07-21T01:00:00Z,3.04,3.06,3.02,3.04,10049600,11792524.65
2021-07-22T01:00:00Z,3.06,3.08,3.05,3.06,10367000,11526274.65
2021-07-23T01:00:00Z,3.08,3.08,3.06,3.07,4574500,11321504.65
2021-07-26T01:00:00Z,3.08,3.08,3.03,3.06,8397700,11158959.65
2021-07-27T01:00:00Z,3.05,3.07,3.03,3.05,6531700,10951714.65
2021-07-28T01:00:00Z,3.05,3.08,3.04,3.08,7724100,10472689.65
2021-07-29T01:00:00Z,3.09,3.15,3.08,3.14,17142600,10703774.65
2021-07-30T01:00:00Z,3.12,3.14,3.11,3.12,10174700,10746650
2021-08-02T01:00:00Z,3.13,3.14,3.08,3.12,7001300,10642020
2021-08-03T01:00:00Z,3.13,3.14,3.1,3.12,13199800,10601600
2021-08-04T01:00:00Z,3.13,3.17,3.12,3.16,14451000,10218030
2021-08-05T01:00:00Z,3.16,3.18,3.14,3.15,10871400,10050320
2021-08-06T01:00:00Z,3.14,3.16,3.12,3.14,7285900,9837610
2021-08-10T01:00:00Z,3.12,3.14,3.1,3.14,10210900,9839415
2021-08-11T01:00:00Z,3.14,3.15,3.11,3.11,9750300,9871385
2021-08-12T01:00:00Z,3.12,3.13,3.11,3.12,4528200,9376835
2021-08-13T01:00:00Z,3.11,3.13,3.09,3.09,10569200,9470740
2021-08-16T01:00:00Z,3.09,3.11,3.08,3.08,9548300,9606060
2021-08-17T01:00:00Z,3.08,3.1,3.06,3.09,12440300,9629665
2021-08-18T01:00:00Z,3.08,3.15,3.08,3.13,12873900,9884620
2021-08-19T01:00:00Z,3.11,3.12,3.08,3.09,12852400,10024760
2021-08-20T01:00:00Z,3.09,3.14,3.08,3.09,13821200,10197470
2021-08-23T01:00:00Z,3.09,3.13,3.07,3.09,12820500,10609770
2021-08-24T01:00:00Z,3.09,3.11,3.08,3.09,8508900,10615330
2021-08-25T01:00:00Z,3.11,3.13,3.09,3.1,7849000,10681195
2021-08-26T01:00:00Z,3.11,3.11,3.08,3.08,8058000,10697890
2021-08-27T01:00:00Z,3.07,3.08,3.05,3.07,9179400,10299730
2021-08-30T01:00:00Z,3.07,3.11,3.07,3.09,10557100,10318850
2021-08-31T01:00:00Z,3.1,3.1,3.04,3.04,29548200,11446195
2021-09-01T01:00:00Z,3.05,3.08,3.03,3.07,12658500,11419130
2021-09-02T01:00:00Z,3.07,3.11,3.06,3.09,9890900,11191125
2021-09-03T01:00:00Z,3.1,3.11,3.06,3.1,7415000,11018305
2021-09-06T01:00:00Z,3.1,3.12,3.09,3.11,7820600,11045040
2021-09-07T01:00:00Z,3.09,3.11,3.07,3.1,5790200,10824005
2021-09-08T01:00:00Z,3.08,3.08,3.03,3.04,12838960,10978438
2021-09-09T01:00:00Z,3.06,3.07,3.03,3.04,12305900,11367323
2021-09-10T01:00:00Z,3.05,3.1,3.05,3.08,12052100,11441468
2021-09-13T01:00:00Z,3.08,3.09,3.03,3.05,7654000,11346753
2021-09-14T01:00:00Z,3.08,3.1,3.06,3.07,8726800,11161078
2021-09-15T01:00:00Z,3.06,3.07,3.05,3.06,7891400,10911953
2021-09-16T01:00:00Z,3.08,3.1,3.07,3.08,7137700,10626218
2021-09-17T01:00:00Z,3.08,3.12,3.07,3.12,27383700,11304343
2021-09-20T01:00:00Z,3.13,3.14,3.08,3.08,19861000,11656368
2021-09-21T01:00:00Z,3.1,3.13,3.07,3.08,16273800,12044613
2021-09-22T01:00:00Z,3.07,3.1,3.05,3.08,11961500,12250238
2021-09-23T01:00:00Z,3.09,3.13,3.08,3.12,9936400,12344158
2021-09-24T01:00:00Z,3.12,3.13,3.06,3.1,14070300,12588703
2021-09-27T01:00:00Z,3.1,3.13,3.08,3.09,12275100,12674603
2021-09-28T01:00:00Z,3.07,3.08,3.04,3.06,13397900,11867088
2021-09-29T01:00:00Z,3.06,3.07,3.02,3.02,13754400,11921883
2021-09-30T01:00:00Z,3.02,3.04,3,3,13890300,12121853
2021-10-01T01:00:00Z,3,3,2.96,2.98,13465300,12424368
2021-10-04T01:00:00Z,3,3.02,2.97,2.99,15723700,12819523
2021-10-05T01:00:00Z,2.98,2.98,2.94,2.95,15937100,13326868
2021-10-06T01:00:00Z,2.97,2.98,2.93,2.96,14760200,13422930
2021-10-07T01:00:00Z,2.97,3.01,2.96,2.98,16454800,13630375
2021-10-08T01:00:00Z,2.98,2.99,2.96,2.99,9958800,13525710
2021-10-11T01:00:00Z,2.98,2.98,2.95,2.97,11606200,13723320
2021-10-12T01:00:00Z,2.96,2.97,2.94,2.96,12353100,13904635
2021-10-13T01:00:00Z,2.96,3.03,2.96,3,13596200,14189875
2021-10-14T01:00:00Z,3.01,3.04,2.97,3.03,11102400,14388110
2021-10-15T01:00:00Z,3.02,3.04,3,3.04,13650400,13701445
2021-10-18T01:00:00Z,3.02,3.02,2.99,3.01,9689100,13192850
2021-10-19T01:00:00Z,3.02,3.03,3,3.01,10996700,12928995
2021-10-20T01:00:00Z,3.02,3.05,3.01,3.04,13520500,13006945
