time,open,high,low,close,Volume,Volume MA
2021-09-01T01:00:00Z,2.95,3.54,2.9,3.4,248916600,NaN
2021-10-01T01:00:00Z,3.37,3.62,3.31,3.44,190118100,NaN
2021-11-01T01:00:00Z,3.47,3.49,3.31,3.36,202784800,NaN
2021-12-01T01:00:00Z,3.37,3.52,3.3,3.41,150529448,NaN
2022-01-03T01:00:00Z,3.42,3.77,3.42,3.45,181228700,NaN
2022-02-03T01:00:00Z,3.46,3.82,3.46,3.69,179682668,NaN
2022-03-01T01:00:00Z,3.71,4.13,3.63,3.99,203114617,NaN
2022-04-01T01:00:00Z,3.98,4.3,3.97,4.23,112753980,NaN
2022-05-04T01:00:00Z,4.15,4.17,3.76,3.95,204736200,NaN
2022-06-01T01:00:00Z,3.98,4,3.61,3.82,209122000,NaN
2022-07-01T01:00:00Z,3.84,3.98,3.72,3.92,96157400,NaN
2022-08-01T01:00:00Z,3.94,4.1,3.69,3.69,162024400,NaN
2022-09-01T01:00:00Z,3.7,3.76,3.5,3.52,135622200,NaN
