time,open,high,low,close,Volume,Volume MA
2002-09-02T01:00:00Z,0.085,0.085,0.005,0.005,52631200,NaN
2003-04-01T01:00:00Z,0.7,0.86,0.7,0.82,181697000,NaN
2003-05-01T01:00:00Z,0.815,0.845,0.79,0.82,188592000,NaN
2003-06-02T01:00:00Z,0.82,0.82,0.775,0.805,162818000,NaN
2003-07-01T01:00:00Z,0.805,0.815,0.785,0.795,75387000,NaN
2003-08-01T01:00:00Z,0.795,0.82,0.765,0.815,84675000,NaN
2003-09-01T01:00:00Z,0.81,0.82,0.775,0.785,61928000,NaN
2003-10-01T01:00:00Z,0.78,0.79,0.75,0.775,79393000,NaN
2003-11-03T01:00:00Z,0.775,0.775,0.7,0.77,53866000,NaN
2003-12-01T01:00:00Z,0.765,0.825,0.75,0.815,41887000,NaN
2004-01-02T01:00:00Z,0.83,1,0.815,0.915,101123000,NaN
2004-02-02T01:00:00Z,0.915,0.95,0.88,0.945,43634000,NaN
2004-03-01T01:00:00Z,0.945,1.2,0.935,1.18,137651000,NaN
2004-04-01T01:00:00Z,1.18,1.26,1.15,1.23,72271000,NaN
2004-05-03T01:00:00Z,1.22,1.24,1.07,1.14,59813000,NaN
2004-06-01T01:00:00Z,1.14,1.32,1.11,1.23,97692000,NaN
2004-07-01T01:00:00Z,1.23,1.29,1.17,1.25,65998000,NaN
2004-08-02T01:00:00Z,1.24,1.28,1.21,1.26,74919000,NaN
2004-09-01T01:00:00Z,1.24,1.38,1.18,1.31,101196000,NaN
2004-10-01T01:00:00Z,1.31,1.48,1.29,1.43,53982000,89557660
2004-11-01T01:00:00Z,1.43,1.59,1.39,1.43,86971000,91274650
2004-12-01T01:00:00Z,1.42,1.56,1.4,1.55,64634000,85421500
2005-01-03T01:00:00Z,1.54,1.56,1.49,1.5,60934000,79038600
2005-02-01T01:00:00Z,1.51,1.73,1.5,1.67,65814000,74188400
2005-03-01T01:00:00Z,1.66,1.81,1.64,1.67,66786000,73758350
2005-04-01T01:00:00Z,1.66,1.75,1.58,1.74,81655000,73607350
2005-05-02T01:00:00Z,1.76,1.81,1.61,1.7,97217000,75371800
2005-06-01T01:00:00Z,1.72,1.76,1.62,1.69,67199000,74762100
2005-07-01T01:00:00Z,1.68,1.68,1.52,1.57,121800000,78158800
2005-08-01T01:00:00Z,1.58,1.6,1.44,1.44,94311000,80780000
2005-09-01T01:00:00Z,1.47,1.53,1.43,1.5,78033000,79625500
2005-10-03T01:00:00Z,1.49,1.56,1.38,1.48,67440000,80815800
2005-11-01T01:00:00Z,1.46,1.58,1.46,1.5,52387000,76552600
2005-12-01T01:00:00Z,1.51,1.6,1.5,1.6,41590000,75018550
2006-01-02T01:00:00Z,1.59,1.7,1.58,1.7,60928000,75074300
2006-02-01T01:00:00Z,1.72,1.72,1.57,1.65,201044000,80241900
2006-03-01T01:00:00Z,1.66,1.7,1.61,1.68,56995000,79791750
2006-04-03T01:00:00Z,1.67,1.69,1.59,1.61,73214000,79706500
2006-05-01T01:00:00Z,1.61,1.62,1.45,1.46,114101000,80351750
2006-06-01T01:00:00Z,1.47,1.53,1.42,1.53,68289000,81067100
