time,open,high,low,close,Volume,Volume MA
2006-07-03T01:00:00Z,1.1,1.1,1.1,1.1,0,NaN
2006-08-01T01:00:00Z,1.1,1.3,0.92,1.26,434521000,NaN
2006-09-01T01:00:00Z,1.26,1.26,1,1.05,360028000,NaN
2006-10-02T01:00:00Z,1.05,1.32,1.05,1.28,293854000,NaN
2006-11-01T01:00:00Z,1.28,1.79,1.28,1.75,292118000,NaN
2006-12-01T01:00:00Z,1.74,2.46,1.69,2.43,163466000,NaN
2007-01-01T01:00:00Z,2.43,2.99,2.28,2.37,142710000,NaN
2007-02-01T01:00:00Z,2.4,2.77,2.28,2.38,119233000,NaN
2007-03-01T01:00:00Z,2.42,2.79,2.16,2.75,140818000,NaN
2007-04-02T01:00:00Z,2.75,3.3,2.69,2.92,114923000,NaN
2007-05-01T01:00:00Z,2.98,3.6,2.94,3.44,115598000,NaN
2007-06-01T01:00:00Z,3.44,3.46,3.04,3.18,175365000,NaN
2007-07-02T01:00:00Z,3.2,3.8,3.18,3.4,185584000,NaN
2007-08-01T01:00:00Z,3.38,3.38,2.67,3.14,168198000,NaN
2007-09-03T01:00:00Z,3.18,3.72,3.14,3.66,120700000,NaN
2007-10-01T01:00:00Z,3.68,4.42,3.6,4.14,140822000,NaN
2007-11-01T01:00:00Z,4.18,4.86,4,4.36,187245000,NaN
2007-12-03T01:00:00Z,4.36,5.39,4.26,5.39,126769000,NaN
2008-01-01T01:00:00Z,5.38,5.72,3.65,4.15,264340000,NaN
2008-02-01T01:00:00Z,4.15,5.29,4,4.39,201966000,187412900
2008-03-03T01:00:00Z,4.29,4.46,3.38,4.18,208447000,197835250
2008-04-01T01:00:00Z,4,4.94,3.98,4.61,139782000,183098300
2008-05-01T01:00:00Z,4.74,5.71,4.66,5.56,165465000,173370150
2008-06-02T01:00:00Z,5.49,5.54,4.63,5.06,157137000,166534300
2008-07-01T01:00:00Z,5.1,5.1,3.97,4.41,185018000,161179300
2008-08-01T01:00:00Z,4.36,4.38,3.51,3.8,192495000,162630750
2008-09-01T01:00:00Z,3.8,3.84,2.26,2.51,372053000,174097900
