time,open,high,low,close,Volume,Volume MA
2000-05-01T01:00:00Z,1.65,1.67,1.49,1.55,9276000,NaN
2000-06-01T01:00:00Z,1.56,1.71,1.5,1.6,26264000,NaN
2000-07-03T01:00:00Z,1.61,1.8,1.6,1.7,25443000,NaN
2000-08-01T01:00:00Z,1.8,2.03,1.68,2,54585000,NaN
2000-09-01T01:00:00Z,2,2.05,1.74,1.84,30191000,NaN
2000-10-02T01:00:00Z,1.84,1.99,1.75,1.85,39757000,NaN
2000-11-01T01:00:00Z,1.9,2.11,1.87,2.06,49627000,NaN
2000-12-01T01:00:00Z,2.08,2.26,2.08,2.22,22812000,NaN
2001-01-02T01:00:00Z,2.2,2.78,2.18,2.5,40743000,NaN
2001-02-01T01:00:00Z,2.51,2.56,2.39,2.53,19989000,NaN
2001-03-01T01:00:00Z,2.53,2.55,1.98,2.15,40620000,NaN
2001-04-02T01:00:00Z,2.12,2.18,1.96,2.01,35052000,NaN
2001-05-02T01:00:00Z,2.01,2.04,1.84,1.99,33710000,NaN
2001-06-01T01:00:00Z,1.99,2,1.74,1.8,23502000,NaN
2001-07-02T01:00:00Z,1.8,1.83,1.56,1.59,16935000,NaN
2001-08-01T01:00:00Z,1.59,1.74,1.58,1.63,22798000,NaN
2001-09-03T01:00:00Z,1.63,1.69,1.41,1.6,14065000,NaN
2001-10-01T01:00:00Z,1.64,1.72,1.58,1.61,15563000,NaN
2001-11-01T01:00:00Z,1.62,1.73,1.6,1.73,28136000,NaN
2001-12-03T01:00:00Z,1.73,1.92,1.69,1.89,208707000,37888750
2002-01-02T01:00:00Z,1.9,2.03,1.85,1.91,32217000,39035800
2002-02-01T01:00:00Z,1.9,1.96,1.81,1.89,16204000,38532800
2002-03-01T01:00:00Z,1.89,1.89,1.7,1.73,28657000,38693500
2002-04-01T01:00:00Z,1.74,1.78,1.61,1.73,24512000,37189850
2002-05-01T01:00:00Z,1.75,1.87,1.67,1.69,27984000,37079500
2002-06-03T01:00:00Z,1.67,1.75,1.58,1.61,16028000,35893050
2002-07-01T01:00:00Z,1.61,1.65,1.34,1.52,24902000,34656800
2002-08-01T01:00:00Z,1.5,1.5,1.29,1.39,18277000,34430050
2002-09-02T01:00:00Z,1.39,1.4,1.29,1.3,15588000,33172300
2002-10-01T01:00:00Z,1.31,1.38,1.27,1.38,19559000,33150800
2002-11-01T01:00:00Z,1.37,1.45,1.3,1.34,12852000,31762400
2002-12-02T01:00:00Z,1.34,1.44,1.28,1.38,13161000,30667850
2003-01-02T01:00:00Z,1.39,1.41,1.36,1.37,20069000,29985800
2003-02-03T01:00:00Z,1.37,1.41,1.22,1.23,16783000,29649850
2003-03-03T01:00:00Z,1.24,1.27,1.09,1.1,22097000,29907950
2003-04-01T01:00:00Z,1.1,1.18,1.08,1.12,16414000,29588750
2003-05-01T01:00:00Z,1.13,1.28,1.13,1.24,14515000,29611250
2003-06-02T01:00:00Z,1.27,1.4,1.23,1.25,14653000,29565750
2003-07-01T01:00:00Z,1.25,1.42,1.18,1.2,29946000,29656250
2003-08-01T01:00:00Z,1.2,1.57,1.14,1.34,39443000,21193050
2003-09-01T01:00:00Z,1.33,1.65,1.32,1.59,37036000,21434000
2003-10-01T01:00:00Z,1.55,1.7,1.5,1.55,36630000,22455300
2003-11-03T01:00:00Z,1.57,1.67,1.56,1.57,57625000,23903700
2003-12-01T01:00:00Z,1.59,1.72,1.57,1.7,41873000,24771750
2004-01-02T01:00:00Z,1.7,1.94,1.68,1.85,88921000,27818600
2004-02-02T01:00:00Z,1.88,1.92,1.84,1.9,57982000,29916300
2004-03-01T01:00:00Z,1.91,1.98,1.73,1.81,46157000,30979050
2004-04-01T01:00:00Z,1.81,1.83,1.69,1.73,17557000,30943050
2004-05-03T01:00:00Z,1.73,1.82,1.46,1.59,43779000,32352600
2004-06-01T01:00:00Z,1.59,1.62,1.51,1.56,20605000,32404900
2004-07-01T01:00:00Z,1.57,1.89,1.57,1.82,32746000,33399600
2004-08-02T01:00:00Z,1.83,1.97,1.82,1.89,66573000,36070200
2004-09-01T01:00:00Z,1.88,2.13,1.88,1.97,46367000,37385100
2004-10-01T01:00:00Z,2,2.1,1.99,2.06,22576000,37674750
2004-11-01T01:00:00Z,2.09,2.61,2.08,2.55,43810000,38760400
2004-12-01T01:00:00Z,2.52,2.75,2.35,2.65,62674000,41073400
2005-01-03T01:00:00Z,2.64,2.75,2.31,2.36,50874000,42891350
2005-02-01T01:00:00Z,2.38,2.76,2.38,2.65,48222000,44569800
2005-03-01T01:00:00Z,2.66,2.9,2.62,2.69,64139000,46279450
2005-04-01T01:00:00Z,2.69,2.91,2.69,2.89,41663000,46390450
2005-05-02T01:00:00Z,2.9,2.99,2.74,2.83,41333000,46605300
2005-06-01T01:00:00Z,2.84,2.86,2.72,2.79,42630000,46905300
2005-07-01T01:00:00Z,2.79,3.32,2.78,3.26,59534000,47000750
2005-08-01T01:00:00Z,3.26,3.44,3.16,3.28,36751000,46744650
2005-09-01T01:00:00Z,3.28,3.36,3.12,3.14,27175000,43657350
2005-10-03T01:00:00Z,3.18,3.18,2.82,2.86,62155000,43866000
2005-11-01T01:00:00Z,2.85,3.4,2.85,3.2,36465000,43381400
2005-12-01T01:00:00Z,3.22,3.34,3.06,3.14,48212000,44914150
2006-01-02T01:00:00Z,3.16,3.46,3.14,3.3,38406000,44645500
2006-02-01T01:00:00Z,3.38,3.72,3.26,3.58,48512000,46040850
2006-03-01T01:00:00Z,3.56,3.8,3.56,3.72,62947000,47550900
2006-04-03T01:00:00Z,3.76,4.1,3.76,3.92,33791000,45911800
2006-05-01T01:00:00Z,3.94,4.12,3.44,3.72,65544000,46870650
2006-06-01T01:00:00Z,3.76,3.82,3.32,3.66,37117000,47597700
2006-07-03T01:00:00Z,3.74,4,3.48,3.9,30315000,46922950
2006-08-01T01:00:00Z,3.98,4.1,3.8,4.02,42689000,45923700
2006-09-01T01:00:00Z,4.06,4.14,3.78,3.88,41970000,45478500
2006-10-02T01:00:00Z,3.88,4.1,3.64,3.76,251284000,55631600
2006-11-01T01:00:00Z,3.76,3.88,3.54,3.82,106348000,57742050
2006-12-01T01:00:00Z,3.86,4,3.7,3.98,92444000,60281100
2007-01-01T01:00:00Z,3.98,4.54,3.92,4.44,91048000,62766850
2007-02-01T01:00:00Z,4.46,4.88,4.28,4.42,67637000,64017200
2007-03-01T01:00:00Z,4.44,4.86,4.1,4.66,91021000,65591550
2007-04-02T01:00:00Z,4.66,4.8,4.42,4.68,51242000,66316100
2007-05-01T01:00:00Z,4.68,4.94,4.46,4.58,71154000,68515050
2007-06-01T01:00:00Z,4.6,4.86,4.3,4.5,84825000,69648550
2007-07-02T01:00:00Z,4.5,4.7,4.26,4.26,84075000,72029050
2007-08-01T01:00:00Z,4.26,4.32,3.6,3.84,100709000,74653900
2007-09-03T01:00:00Z,3.86,4.56,3.78,4.52,122235000,78845350
2007-10-01T01:00:00Z,4.56,5.2,4.32,4.98,142342000,83536850
2007-11-01T01:00:00Z,5,5.1,4.3,4.96,126769000,86727950
2007-12-03T01:00:00Z,4.98,5.25,4.42,4.94,113094000,90693100
2008-01-01T01:00:00Z,4.89,4.95,3.96,4.7,146213000,94726550
2008-02-01T01:00:00Z,4.74,4.74,4.16,4.38,83736000,97057500
2008-03-03T01:00:00Z,4.3,4.46,3.82,4.13,108152000,100949350
2008-04-01T01:00:00Z,4.15,4.68,4.06,4.54,90414000,103335600
2008-05-01T01:00:00Z,4.64,5.01,4.62,4.75,72263000,104850250
2008-06-02T01:00:00Z,4.75,4.8,4.08,4.24,109334000,97752750
2008-07-01T01:00:00Z,4.2,4.42,3.92,4.13,88999000,96885300
