time,open,high,low,close,Volume,Volume MA
2000-05-01T01:00:00Z,4.4,4.4,4.08,4.26,1224400,NaN
2000-06-01T01:00:00Z,4.24,4.58,3.84,4.38,11833600,NaN
2000-07-03T01:00:00Z,4.34,4.5,4.2,4.42,4332400,NaN
2000-08-01T01:00:00Z,4.4,5.2,4.4,4.9,11174000,NaN
2000-09-01T01:00:00Z,4.9,6,4.76,5.85,10945600,NaN
2000-10-02T01:00:00Z,5.8,5.8,5.1,5.55,4036800,NaN
2000-11-01T01:00:00Z,5.65,6.3,5.6,6.25,1759200,NaN
2000-12-01T01:00:00Z,6.1,6.8,6,6.1,1905600,NaN
2001-01-02T01:00:00Z,6.1,6.45,5,6.2,1609200,NaN
2001-02-01T01:00:00Z,6.15,6.4,6.15,6.4,1976400,NaN
2001-03-01T01:00:00Z,6.35,6.7,5.75,5.75,4750800,NaN
2001-04-02T01:00:00Z,6.05,6.2,5.5,5.8,1665200,NaN
2001-05-02T01:00:00Z,5.8,6.1,5.6,5.85,1930800,NaN
2001-06-01T01:00:00Z,5.75,6.15,5.7,6.15,7467200,NaN
2001-07-02T01:00:00Z,6,6,5.7,5.9,2399600,NaN
2001-08-01T01:00:00Z,5.85,6.1,5.8,6,7418400,NaN
2001-09-03T01:00:00Z,6,6.1,5.4,5.65,2048800,NaN
2001-10-01T01:00:00Z,5.55,5.95,5.55,5.6,2460800,NaN
2001-11-01T01:00:00Z,5.6,6.15,5.55,6.15,2056800,NaN
2001-12-03T01:00:00Z,6.05,6.35,5.7,5.9,2858400,4292700
2002-01-02T01:00:00Z,5.9,6.1,5.7,5.8,1793600,4321160
2002-02-01T01:00:00Z,5.75,5.75,5.35,5.6,1484800,3803720
2002-03-01T01:00:00Z,5.65,6,5.3,5.5,1388400,3656520
2002-04-01T01:00:00Z,5.5,6,5.45,6,2918400,3243740
2002-05-01T01:00:00Z,6,6.2,5.95,5.95,1918400,2792380
2002-06-03T01:00:00Z,5.95,6.1,5.8,5.95,1803600,2680720
2002-07-01T01:00:00Z,5.95,6.1,5.3,5.5,2127600,2699140
2002-08-01T01:00:00Z,5.55,5.95,5.55,5.8,1947200,2701220
2002-09-02T01:00:00Z,5.85,6.1,5.75,5.75,838800,2662700
2002-10-01T01:00:00Z,5.75,6.05,5.7,6.05,2081600,2667960
2002-11-01T01:00:00Z,6,6.1,5.85,6,1175600,2489200
2002-12-02T01:00:00Z,5.95,6.35,5.75,6.25,2833200,2547600
2003-01-02T01:00:00Z,6.15,6.35,6,6.15,894400,2495780
2003-02-03T01:00:00Z,6.2,6.25,5.6,5.7,1006000,2172720
2003-03-03T01:00:00Z,5.7,5.95,5.5,5.5,4322800,2268880
2003-04-01T01:00:00Z,5.6,6,5.45,5.65,1658800,1980900
2003-05-01T01:00:00Z,5.65,6.2,5.65,6.05,1363600,1946640
2003-06-02T01:00:00Z,6.1,6.45,6,6.15,1881200,1917660
2003-07-01T01:00:00Z,6.15,7.25,6.05,7.05,3696000,1999620
2003-08-01T01:00:00Z,7.1,7.15,6.5,7.1,3612800,2037340
