time,open,high,low,close,Volume,Volume MA
1997-12-01T01:00:00Z,1.15,1.42,1.13,1.27,208957000,NaN
1998-01-01T01:00:00Z,1.29,1.52,1.04,1.4,159792000,NaN
1998-02-02T01:00:00Z,1.45,1.62,1.35,1.6,106920000,NaN
1998-03-02T01:00:00Z,1.6,1.6,1.41,1.43,117536000,NaN
1998-04-01T01:00:00Z,1.43,1.5,1.32,1.36,59403000,NaN
1998-05-01T01:00:00Z,1.38,1.42,1.14,1.22,103669000,NaN
1998-06-01T01:00:00Z,1.2,1.32,1.07,1.19,77619000,NaN
1998-07-01T01:00:00Z,1.19,1.34,1.19,1.28,55467000,NaN
1998-08-03T01:00:00Z,1.27,1.58,1.24,1.54,143363000,NaN
1998-09-01T01:00:00Z,1.25,1.7,1.25,1.62,148543000,NaN
1998-10-01T01:00:00Z,1.6,1.64,1.4,1.6,142152000,NaN
1998-11-02T01:00:00Z,1.6,1.83,1.53,1.8,125523000,NaN
1998-12-01T01:00:00Z,1.78,1.78,1.51,1.54,106974000,NaN
1999-01-01T01:00:00Z,1.58,1.68,1.5,1.5,183579000,NaN
1999-02-01T01:00:00Z,1.51,1.52,1.37,1.48,165671000,NaN
1999-03-01T01:00:00Z,1.48,1.56,1.45,1.56,118794000,NaN
1999-04-01T01:00:00Z,1.56,1.83,1.55,1.82,254034000,NaN
1999-05-03T01:00:00Z,1.83,2.05,1.78,1.87,167825000,NaN
1999-06-01T01:00:00Z,1.9,2.07,1.83,1.93,118054000,NaN
1999-07-01T01:00:00Z,1.96,2.26,1.81,2.09,185105000,137449000
1999-08-02T01:00:00Z,2.09,2.11,1.83,2.03,82423000,131122300
1999-09-01T01:00:00Z,2.03,2.32,1.97,2.17,113074000,128786400
1999-10-01T01:00:00Z,2.17,2.47,2.13,2.41,95201000,128200450
1999-11-01T01:00:00Z,2.43,2.7,2.4,2.51,76037000,126125500
1999-12-01T01:00:00Z,2.54,2.63,2.32,2.58,64278000,126369250
2000-01-03T01:00:00Z,2.62,2.64,2.18,2.2,104484000,126410000
2000-02-01T01:00:00Z,2.3,2.32,2.09,2.11,114866000,128272350
2000-03-01T01:00:00Z,2.14,2.16,1.79,2.05,144859000,132741950
2000-04-03T01:00:00Z,2.05,2.46,1.93,2.4,143749000,132761250
2000-05-01T01:00:00Z,2.4,2.55,2.17,2.3,89099000,129789050
2000-06-01T01:00:00Z,2.3,2.59,2.27,2.54,108049000,128083900
2000-07-03T01:00:00Z,2.55,2.79,2.44,2.68,84380000,126026750
2000-08-01T01:00:00Z,2.68,2.69,2.3,2.32,111202000,126238150
2000-09-01T01:00:00Z,2.34,2.6,2.34,2.58,83129000,121215650
2000-10-02T01:00:00Z,2.52,2.86,2.33,2.83,133916000,119627900
2000-11-01T01:00:00Z,2.85,2.9,2.4,2.62,131457000,120261050
2000-12-01T01:00:00Z,2.64,2.82,2.59,2.79,52255000,110172100
