time,open,high,low,close,Volume,Volume MA
702090000,0.075604,0.090124,0.074602,0.08803,60808048,NaN
704682000,0.08803,0.125354,0.082886,0.124307,36803822,NaN
707360400,0.12326,0.140875,0.122259,0.127402,9236098,NaN
709952400,0.127402,0.130543,0.118071,0.122259,2900002,NaN
712803600,0.122259,0.124307,0.111881,0.119118,637119,NaN
715309200,0.114976,0.118071,0.108786,0.118071,2864853,NaN
717901200,0.118071,0.118071,0.097361,0.109787,3084555,NaN
720666000,0.109787,0.169869,0.109787,0.153301,13586123,NaN
723171600,0.153301,0.182341,0.141922,0.181294,24513906,NaN
725850000,0.181294,0.213384,0.180247,0.197862,18314027,NaN
728528400,0.198909,0.269324,0.198909,0.250708,5272746,NaN
730947600,0.258992,0.294176,0.248614,0.292128,7711392,NaN
733626000,0.294176,0.362588,0.290034,0.339784,7882758,NaN
736390800,0.339784,0.383299,0.325264,0.375015,7825635,NaN
738896400,0.372921,0.414341,0.343926,0.406057,8128817,NaN
741488400,0.406057,0.424719,0.401915,0.422671,3620615,NaN
744253200,0.428861,0.633961,0.428861,0.604966,6665631,NaN
746845200,0.604966,0.737557,0.604966,0.737557,7482908,NaN
749437200,0.737557,0.745842,0.663001,0.737557,3269098,NaN
752115600,0.737557,0.749984,0.691995,0.745842,10857472,12073281.25
754707600,0.745842,0.845296,0.745842,0.787308,1129237,9089340.7
757558800,0.79145,0.828728,0.642245,0.704421,12153690,7856834.1
760064400,0.704421,0.749984,0.687853,0.745842,1067722,7448415.3
762483600,0.754126,0.79145,0.70961,0.745842,6498662,7628348.3
765162000,0.745842,0.820444,0.745842,0.81216,1709244,7681954.55
767840400,0.808018,0.841154,0.754126,0.754126,3422888,7709856.3
770432400,0.745842,0.745842,0.683711,0.683711,7816850,7946471.05
773024400,0.683711,0.737557,0.679569,0.720989,3269099,7430619.85
775702800,0.729273,0.745842,0.683711,0.700279,5211233,6465486.2
778381200,0.691995,0.754126,0.675427,0.754126,3436069,5721588.3
781146000,0.754126,0.774836,0.725131,0.737557,5461689,5731035.45
783651600,0.733415,0.737557,0.679569,0.700279,5176083,5604270
786243600,0.691995,0.691995,0.642245,0.663001,2781373,5349200.75
789008400,0.663001,0.663001,0.621535,0.621535,1076515,5011744.75
791600400,0.633961,0.691995,0.621535,0.683711,3805166,4795562.2
794019600,0.687853,0.758268,0.675427,0.758268,6296542,4929358.55
796870800,0.725131,0.737557,0.683711,0.687853,3611831,4776668.55
799290000,0.683711,0.766552,0.658813,0.733415,10492775,4927161.9
801968400,0.749984,0.778978,0.745842,0.76241,4161074,4971760.7
804733200,0.766552,0.944751,0.758268,0.924041,11964752,5027124.7
807238800,0.915756,1.023495,0.911614,1.023495,3932588,5167292.25
809917200,1.027637,1.066964,0.924041,0.924041,3620616,4740638.55
812595600,0.870148,0.919899,0.828728,0.895001,3752433,4874874.1
815187600,0.895001,0.907472,0.857722,0.899143,3282282,4714055.1
817779600,0.915756,1.011024,0.895001,0.982029,2284852,4742835.5
820458000,0.982029,1.035921,0.973745,1.027637,4596074,4801494.8
823136400,1.027637,1.10843,1.027637,1.035921,7693819,4795343.25
825642000,1.035921,1.056632,0.994455,1.035921,4240161,4843896.35
828320400,1.023495,1.023495,0.932325,0.994455,4965168,4831593.1
830912400,1.011024,1.14985,0.990313,1.139473,4938804,4906729.85
833763600,1.139473,3,1.118762,2.6,3564920,4811891.4
836182800,2.6,2.62,2.01,2.04,3423000,4724237.25
838861200,2.05,2.25,1.96,2.25,4997000,4835018.6
841626000,2.2,2.55,2.06,2.46,5225000,5042442.85
844131600,2.45,2.69,2.44,2.56,11022000,5403284.55
846810000,2.56,3.26,2.56,3.12,6314000,5404157.45
849488400,3.1,3.54,2.9,3.48,4138000,5430465.9
852080400,3.52,4,3.48,3.84,6661000,5238877.15
854931600,3.86,3.86,3.64,3.84,3191000,5190373.45
857350800,3.84,4.08,3.54,3.54,4297000,4806985.85
859856400,3.54,4.1,3.5,4.1,6973000,4959006.45
862448400,4.12,5.1,4.12,4.9,6214000,5088675.65
865213200,4.92,4.98,4.42,4.66,5864000,5194254
867718800,4.66,8,4.48,7,26663000,6363289.9
870397200,6.9,6.95,4.96,5.5,13614000,6929747.3
873075600,5.5,7.2,5.1,6.5,15296000,7464743.6
875667600,6.4,6.65,4.56,5.4,16242000,7892152.65
878518800,5.45,6.55,5.45,5.9,7795000,8069894.6
880938000,5.8,5.85,4.12,4.7,13375000,8490386.2
883616400,4.66,5.55,3.5,5.2,10261000,8756496
886381200,5.35,6.25,5.35,6.2,10901000,9123300
888800400,6.25,6.35,5.35,6,13811000,9642700
891392400,5.9,5.9,5.1,5.75,7990000,9792350
893984400,5.75,5.85,4.46,4.56,7755000,9918850
896662800,4.5,4.68,3.18,3.2,10350000,9885250
899254800,3.2,4.62,3.2,4.42,16355000,10387300
902106000,4.4,4.76,4.06,4.5,20424000,11201600
904611600,4.2,5.75,4.2,5.2,17215000,11729300
907203600,5.1,5.4,4.6,5.4,14878000,12313650
909968400,5.4,6.3,5.05,6.3,15315000,12864550
912474000,6.3,6.65,5.65,6.3,9676000,12999700
915152400,6.25,7.45,5.9,7.35,14703000,13424150
917830800,7.35,7.7,6.2,7.25,10784000,13670150
920250000,7.05,8.25,6.65,7.8,10606000,12867300
922928400,7.75,11.5,7.75,9.299999,17964000,13084800
925693200,9.599999,11.2,8.349999,10.3,16993000,13169650
928198800,10.6,15.7,10.3,13.1,12769000,12996000
930790800,13.6,15.4,12.3,14,12422000,13227350
933555600,14,17.700001,13.7,16.1,8635000,12990350
936147600,16.1,16.200001,13.6,14.8,8813000,12917950
938739600,15,16.4,14,14.8,6730000,12709400
941418000,15.1,17.1,14.3,17,13588000,12698250
944010000,17,21,17,19.1,8508000,12724150
946861200,19.5,25.299999,19.299999,23,10672000,12870000
949366800,23.5,32,23.5,25.9,9546000,12829800
951872400,26.299999,30,20,23.5,15314000,12777750
954723600,23.200001,26.200001,16.9,20,12886000,12400850
957142800,20.4,21.5,12.6,15.3,25011000,12790650
959821200,15.2,21.799999,15.2,17.6,26699000,13381700
962586000,17.700001,22.4,17.700001,19.799999,18785000,13555200
965091600,20,23.200001,18.9,22,11740000,13658400
967770000,22.200001,22.799999,16.4,16.799999,21780000,14012250
970448400,16.700001,18.1,13.2,17,37075000,15326800
973040400,18.299999,19.200001,14.3,14.3,27534000,16173200
975632400,14.6,16.299999,10.9,11.6,36044000,17077200
978397200,11.4,16.700001,10.5,16.700001,29048000,17679950
980989200,16.4,16.799999,13.2,13.5,31861000,18634550
983408400,13.3,14.1,12.1,12.7,42636000,20145250
986173200,12.7,13.3,9.8,12.7,51634000,22295200
988765200,13,14.5,12.3,12.6,36167000,23662900
991357200,12.7,12.8,10.8,12.1,36524000,25152600
994035600,12.2,13.2,11.5,12.9,24747000,25710550
996627600,12.9,14,11.1,11.6,38104000,27190350
999478800,11.6,12.5,7.1,8.75,103929000,31853200
1001898000,8.65,10.4,8.1,9.65,54215000,34086650
1004576400,9.65,12.1,8.9,11.9,38845000,35263200
1007341200,12,15.8,12,13.3,45599000,36898850
1009933200,13.3,15.8,13.2,15.4,46775000,37987050
1012525200,15.7,15.7,13.3,14.7,28701000,38087150
1014944400,14.8,19.1,14.5,18.200001,43320000,39313900
1017622800,18.1,18.799999,16.700001,17,31482000,40301000
1020214800,17.200001,17.4,15.3,16.200001,28552000,40639600
1023066000,16,16,13.3,14.1,28504000,40211050
1025485200,14.1,15.7,11.8,11.8,54428000,41555750
1028163600,11.7,13.4,10.5,12.9,41381000,41822600
1030928400,13,13,9.75,10.6,33822000,42061300
1033434000,10.4,14.1,10.4,13.2,40345000,42485500
1036112400,13.2,15.3,12.8,15.2,31563000,41931850
1038790800,15.2,15.4,13.7,13.9,18221000,40261200
1041469200,14,14.7,12.7,13,28249000,39865300
1044234000,13.1,14.1,12.2,13.4,23022000,39190200
1046653200,13.6,15.1,13.2,14,29827000,39444200
1049158800,13.8,14.9,13.8,14.8,19239000,38500950
1051750800,14.7,15.7,14.6,15.1,17356000,34172300
1054515600,15.3,16.9,15.2,16.1,25964000,32759750
1057021200,16.299999,17.9,16.200001,17.9,18929000,31763950
1059699600,17.9,20.299999,17.299999,20.200001,18549000,30411450
1062378000,20.1,21,19.6,20,17110000,28928200
1064970000,20,20.799999,18.5,18.9,26408000,28813550
1067821200,19.1,19.799999,18.200001,18.9,19519000,27623500
1070240400,19,20.700001,18.799999,20,16003000,26849550
1073005200,20.4,24.200001,20.1,22,18091000,26326500
1075683600,21.9,22,20.4,21.5,16574000,25730000
1078102800,21.4,21.799999,18.6,19.299999,31433000,24580250
1080781200,19.799999,21.799999,18.799999,19.1,17843000,23403350
1083546000,19.1,19.9,16.1,18,33600000,23392250
1086051600,18,18.6,17.200001,18,18538000,22301900
1088643600,18.1,18.200001,15.7,16.200001,37018000,22574650
1091408400,16.200001,17.4,15.6,17,33500000,23338600
1094000400,17.1,17.200001,16.1,16.5,20838000,22968050
1096592400,16.5,17.1,15.6,15.8,24930000,23063450
1099270800,15.8,16.5,14.9,15.8,30310000,23087600
1101862800,15.9,16.5,15.2,15.9,17434000,22997350
1104714000,16,16.299999,15.5,15.7,13786000,22818850
1107219600,15.8,16.799999,14,14.4,32318000,23136550
1109638800,14.2,14.8,13.2,13.3,23358000,23358000
1112317200,13.3,14.2,12.8,13.9,23898000,23625450
1114995600,14.2,15.3,14,15,19779000,23758900
1117587600,14.8,16.700001,14.8,16,23582000,23617600
1120179600,16.1,17,15.6,16,16994000,23491350
1122858000,16,16,14.7,15.3,16454000,23513900
1125536400,15.3,15.9,14.4,14.5,22167000,23717700
1128301200,14.3,14.4,12,12.5,27942000,24286100
1130806800,12.5,13.7,12.3,13.7,20408000,23734850
1133398800,13.5,14.5,13.5,13.8,12785000,23481950
1136163600,13.8,14.6,12.4,13.4,17582000,22681050
1138755600,13.4,13.6,12.6,13.1,10125000,22260400
1141174800,13.2,13.3,12.8,12.8,10097000,20914350
1144026000,12.8,13.6,12,13.5,15629000,20020800
1146445200,13.5,13.6,11.2,11.3,11554000,19556600
1149123600,11.3,11.6,9.5,10.6,18929000,19256550
1151888400,10.7,10.9,9.5,10.7,15880000,18535050
1154394000,10.5,12,10.3,11.6,15045000,18415600
1157072400,11.6,12.9,11.3,12.6,11810000,18316800
1159750800,12.8,14.5,12.5,14.3,12907000,17346250
1162342800,14,14.6,13.2,13.8,14535000,16905100
1164934800,13.7,14.2,13.4,13.5,9958000,16208100
1167613200,13.5,14.5,12.1,14,16347000,16036500
1170291600,14.3,14.4,12.7,13.8,15321000,15623450
1172710800,14,15.1,13.3,14.6,14964000,15521950
1175475600,14.4,16.4,14,15.7,10533000,15225900
1177981200,16.1,16.5,15,15.1,12596000,14747350
1180659600,15.2,16.200001,15.2,15.7,12059000,13953200
1183338000,15.7,16.200001,14.9,15.3,11403000,13502950
1185930000,15.2,15.8,12.2,15.6,21084000,13917900
1188781200,15.6,16.5,15.1,16.5,9534000,13515500
1191200400,16.6,17,13.5,13.9,16625000,13840500
1193878800,14.1,14.4,12.2,12.6,27615000,14716400
1196643600,12.9,13.6,12,12.8,10041000,14437000
1199149200,12.74,12.82,7.52,10.2,20789000,14898750
1201827600,10.4,11.06,9.22,10.3,13112000,14607900
1204506000,10,11.46,9.4,10.54,16313000,14629550
1207011600,10.56,12.02,10.22,11.1,12847000,14519650
1209603600,11.42,11.7,10.02,10.02,10977000,14478000
1212368400,10.18,10.48,9.5,9.81,15621000,14613700
1214874000,9.89,11.12,9.59,10.9,11327000,14453300
1217552400,10.68,11.22,8.96,10.04,12691000,14589950
1220230800,9.95,9.95,7.48,7.7,21352000,14840200
1222822800,7.8,7.9,4.1,5.3,29945000,15571400
1225674000,5.35,7,3.9,4.12,47953000,17220850
1228093200,4.06,4.78,3.92,4.38,22721000,17830250
1230771600,4.38,4.71,4.05,4.09,16039000,18002400
1233536400,4.09,5.05,3.95,4.92,21624000,18480650
1235955600,4.9,5.22,4.13,5.04,36565000,19738750
1238547600,5.04,6.25,5.02,5.96,28061000,20087600
1241139600,6,7.28,6,7.1,20321000,20626950
1243818000,7.15,7.2,6.55,6.98,13850000,20488200
1246410000,6.98,10.2,6.8,9.55,20302000,20122550
1249261200,9.64,9.64,8.1,8.61,20502000,20645600
1251766800,8.63,9.5,8.55,8.99,11911000,20201700
1254358800,8.92,9.67,8.69,9.05,12156000,20153900
1257123600,8.94,9.34,8.16,8.19,16425000,20159500
1259629200,8.22,8.93,8.16,8.85,10118000,20023050
1262307600,8.47,9.39,8.44,8.47,11508000,20049600
1264986000,8.44,8.98,8.31,8.44,6945000,19615800
1267405200,8.56,8.88,8.38,8.72,14702000,19784550
1270083600,8.75,9.93,8.73,9.89,14161000,19858050
1272848400,9.92,9.97,8.33,8.68,10679000,19324400
1275354000,8.59,9.270001,8.5,8.93,11665000,18410400
1277946000,8.92,9.51,8.86,9.15,10683000,16546900
1280710800,9.21,9.270001,8.6,8.7,6955000,15758600
1283302800,8.66,9.86,8.66,9.82,8755000,15394400
1285894800,9.88,9.9,8.92,9.06,7406000,14683500
1288573200,9.08,9.55,8.94,9.01,11115000,13411000
1291165200,9.03,9.44,8.95,9.26,4951000,12255500
1294016400,9.28,10.02,9.28,9.69,6855000,11582200
1296522000,9.67,9.87,9.2,9.46,7193000,11249350
1298941200,9.54,9.67,8.92,9.61,11065000,10787500
1301619600,9.66,9.82,9.28,9.65,7630000,10143900
1304298000,9.68,9.9,8.58,8.89,11748000,10135750
1306890000,8.88,8.98,8.34,8.54,5633000,9809600
1309482000,8.6,8.78,7.85,7.88,8865000,9431600
1312160400,7.9,7.94,6.9,7.47,10685000,9459950
1314838800,7.45,7.47,6.63,6.68,3232000,9046150
1317603600,6.56,7.06,6.3,6.74,5048000,8951300
1320109200,6.69,7,6.35,6.51,5797000,8506050
1322701200,6.52,6.69,5.97,6.2,4685000,8032250
1325466000,6.21,7.32,6.21,7.22,4700000,7733300
1328058000,7.16,8.49,7.1,8.43,7128000,7506450
1330563600,8.44,8.9,8.17,8.520001,8253000,7384950
1333328400,8.520001,8.67,8.35,8.6,7630000,7418700
1335834000,8.64,8.66,7.56,7.98,7487000,7355300
1338512400,7.91,8,7.75,7.82,6141000,7292050
1341190800,7.88,8.1,7.46,7.46,8677000,7170150
1343782800,7.44,7.98,7.4,7.76,4703000,7157750
1346634000,7.75,8.09,7.71,8.05,4069000,7018450
1349053200,8.06,8.07,7.65,7.65,4949000,6906250
1351731600,7.63,7.85,7.58,7.82,5913000,6648650
1354496400,7.75,8.1,7.72,8.06,4848000,6509550
1357002000,8.07,8.5,7.88,8.49,9754000,6409850
1359680400,8.49,8.59,8.43,8.54,8072000,6531800
1362099600,8.53,8.75,8.18,8.66,8506000,6513850
1364778000,8.66,8.7,8.24,8.32,11052000,6532200
1367370000,7.79,7.8,7.06,7.32,14707000,7105950
1370221200,7.31,7.44,7.18,7.26,6828000,7194950
1372640400,7.26,7.35,7.16,7.32,4039000,7107050
1375318800,7.32,7.76,7.17,7.6,12035000,7474550
1378083600,7.65,7.68,7.3,7.63,6112000,7545150
1380589200,7.61,7.81,7.5,7.78,4574000,7417450
1383267600,7.78,7.9,7.47,7.53,5251000,7267350
1385946000,7.53,7.77,7.47,7.68,3964000,7084050
1388538000,7.72,7.76,7.36,7.4,6303000,7024850
1391389200,7.4,7.57,7.18,7.55,7995000,7117550
1393808400,7.5,7.56,7.37,7.46,10155000,7191450
1396314000,7.47,7.81,7.45,7.67,11027000,7507650
1398906000,7.7,7.75,7.15,7.29,11031000,7855750
1401670800,7.28,7.79,7.22,7.74,11636000,8190100
1404176400,7.73,8.15,7.66,8.11,9735000,8381200
1406854800,8.03,8.13,7.9,8.03,5300000,8403800
1409533200,8.03,8.03,7.61,7.61,4831000,8157650
1412125200,7.62,7.75,7.32,7.73,7553860,8131743
1414976400,7.75,7.75,7.49,7.66,5350000,7973943
1417395600,7.61,7.87,7.55,7.87,5308000,7686743
