time,open,high,low,close,Volume,Volume MA
2006-05-01T01:00:00Z,0.28,0.28,0.255,0.26,471068000,NaN
2006-06-01T01:00:00Z,0.27,0.275,0.24,0.265,758859000,NaN
2006-07-03T01:00:00Z,0.265,0.295,0.26,0.28,776875000,NaN
2006-08-01T01:00:00Z,0.275,0.305,0.275,0.3,497523000,NaN
2006-09-01T01:00:00Z,0.3,0.305,0.27,0.295,350555000,NaN
2006-10-02T01:00:00Z,0.29,0.295,0.285,0.29,300553000,NaN
2006-11-01T01:00:00Z,0.29,0.295,0.255,0.27,397378000,NaN
2006-12-01T01:00:00Z,0.27,0.285,0.245,0.27,450131000,NaN
2007-01-01T01:00:00Z,0.27,0.285,0.26,0.275,319189000,NaN
2007-02-01T01:00:00Z,0.275,0.29,0.265,0.27,282067000,NaN
2007-03-01T01:00:00Z,0.27,0.275,0.24,0.245,679223000,NaN
2007-04-02T01:00:00Z,0.245,0.285,0.245,0.27,414272000,NaN
2007-05-01T01:00:00Z,0.27,0.28,0.25,0.28,483313000,NaN
2007-06-01T01:00:00Z,0.28,0.28,0.26,0.26,574579000,NaN
2007-07-02T01:00:00Z,0.265,0.285,0.25,0.275,1305923000,NaN
2007-08-01T01:00:00Z,0.27,0.275,0.24,0.255,611001000,NaN
2007-09-03T01:00:00Z,0.255,0.265,0.25,0.265,213062000,NaN
2007-10-01T01:00:00Z,0.26,0.27,0.255,0.26,157576000,NaN
2007-11-01T01:00:00Z,0.26,0.265,0.25,0.25,167435000,NaN
2007-12-03T01:00:00Z,0.25,0.255,0.245,0.255,163730000,468715600
2008-01-01T01:00:00Z,0.255,0.255,0.23,0.24,248379000,457581150
2008-02-01T01:00:00Z,0.245,0.26,0.24,0.255,125766000,425926500
2008-03-03T01:00:00Z,0.25,0.265,0.245,0.265,96766000,391921050
2008-04-01T01:00:00Z,0.265,0.28,0.265,0.275,149120000,374500900
2008-05-01T01:00:00Z,0.275,0.28,0.255,0.26,153718000,364659050
2008-06-02T01:00:00Z,0.255,0.265,0.24,0.245,112685000,355265650
2008-07-01T01:00:00Z,0.24,0.245,0.215,0.215,116135000,341203500
2008-08-01T01:00:00Z,0.22,0.225,0.21,0.225,116616000,324527750
2008-09-01T01:00:00Z,0.22,0.235,0.21,0.225,285127000,322824650
2008-10-01T01:00:00Z,0.225,0.23,0.195,0.205,212762000,319359400
2008-11-03T01:00:00Z,0.2,0.22,0.185,0.21,146644000,292730450
2008-12-01T01:00:00Z,0.21,0.22,0.195,0.195,107684000,277401050
2009-01-01T01:00:00Z,0.195,0.205,0.19,0.195,44997000,255485250
2009-02-02T01:00:00Z,0.195,0.2,0.185,0.195,54291000,229470850
2009-03-02T01:00:00Z,0.19,0.205,0.16,0.175,87644000,168556900
2009-04-01T01:00:00Z,0.175,0.195,0.165,0.19,119080000,143960850
2009-05-01T01:00:00Z,0.185,0.2,0.18,0.19,113872000,139001350
2009-06-01T01:00:00Z,0.19,0.225,0.19,0.215,155303000,138887700
2009-07-01T01:00:00Z,0.215,0.225,0.2,0.215,101255000,135578700
2009-08-03T01:00:00Z,0.22,0.25,0.215,0.245,175820000,136183200
2009-09-01T01:00:00Z,0.245,0.275,0.245,0.25,132323000,130380400
2009-10-01T01:00:00Z,0.255,0.26,0.25,0.255,74259000,127805050
2009-11-02T01:00:00Z,0.255,0.265,0.24,0.24,118270000,128880250
2009-12-01T01:00:00Z,0.24,0.255,0.235,0.245,134768000,128162650
