time,open,high,low,close,Volume,Volume MA
2006-09-01T01:00:00Z,2.48,2.52,2.36,2.44,413021000,NaN
2006-10-02T01:00:00Z,2.43,2.67,2.39,2.65,574347000,NaN
2006-11-01T01:00:00Z,2.67,2.99,2.66,2.88,697395000,NaN
2006-12-01T01:00:00Z,2.9,3.46,2.88,3.28,622714000,NaN
2007-01-01T01:00:00Z,3.28,3.58,3.2,3.5,502279000,NaN
2007-02-01T01:00:00Z,3.54,3.7,3.1,3.18,550935000,NaN
2007-03-01T01:00:00Z,3.22,3.36,3.02,3.28,567500000,NaN
2007-04-02T01:00:00Z,3.28,3.6,3.24,3.32,321780000,NaN
2007-05-01T01:00:00Z,3.36,3.56,3.28,3.54,408132000,NaN
2007-06-01T01:00:00Z,3.58,3.6,3.34,3.4,568736000,NaN
2007-07-02T01:00:00Z,3.42,3.56,3.36,3.5,496617000,NaN
2007-08-01T01:00:00Z,3.48,3.72,3.16,3.64,715772000,NaN
2007-09-03T01:00:00Z,3.64,4.1,3.56,4.02,523871000,NaN
2007-10-01T01:00:00Z,4.1,4.22,3.8,4.08,525952000,NaN
2007-11-01T01:00:00Z,4.12,4.14,3.52,3.88,502383000,NaN
2007-12-03T01:00:00Z,3.88,4.04,3.68,4,416550000,NaN
2008-01-01T01:00:00Z,3.98,4.14,3.3,3.65,734343000,NaN
2008-02-01T01:00:00Z,3.72,4.05,3.63,3.85,538606000,NaN
2008-03-03T01:00:00Z,3.72,4.05,3.61,3.91,609868000,NaN
2008-04-01T01:00:00Z,3.93,4.02,3.79,3.86,486816000,538880850
2008-05-01T01:00:00Z,3.89,3.94,3.58,3.81,613889000,548924250
2008-06-02T01:00:00Z,3.75,3.78,3.57,3.62,599721000,550192950
2008-07-01T01:00:00Z,3.63,3.63,3.44,3.58,525390000,541592700
2008-08-01T01:00:00Z,3.56,3.63,3.39,3.53,458445000,533379250
2008-09-01T01:00:00Z,3.48,3.66,3.01,3.25,796114000,548071000
2008-10-01T01:00:00Z,3.25,3.33,1.94,2.43,874241000,564236300
2008-11-03T01:00:00Z,2.51,2.63,2.18,2.55,590142000,565368400
2008-12-01T01:00:00Z,2.5,2.75,2.42,2.55,441353000,571347050
2009-01-01T01:00:00Z,2.59,2.79,2.4,2.66,470234000,574452150
2009-02-02T01:00:00Z,2.65,2.71,2.4,2.46,494559000,570743300
2009-03-02T01:00:00Z,2.44,2.62,2.41,2.53,560386000,573931750
2009-04-01T01:00:00Z,2.53,2.68,2.43,2.56,622337000,569260000
2009-05-01T01:00:00Z,2.57,3.07,2.5,3.01,709633000,578548100
2009-06-01T01:00:00Z,3.05,3.09,2.81,3,487029000,576601950
2009-07-01T01:00:00Z,2.98,3.52,2.92,3.5,572069000,580086250
2009-08-03T01:00:00Z,3.46,3.48,3.1,3.14,429759000,580746700
2009-09-01T01:00:00Z,3.16,3.3,3.11,3.25,423966000,565227850
2009-10-01T01:00:00Z,3.25,3.31,2.93,2.94,618539000,569224500
2009-11-02T01:00:00Z,2.92,2.99,2.86,2.93,455694000,561515800
2009-12-01T01:00:00Z,2.96,3.12,2.96,3.11,304931000,552421550
2010-01-01T01:00:00Z,3.11,3.16,2.95,3.01,398439000,541649050
2010-02-01T01:00:00Z,3,3.07,2.9,3.05,289958000,526160900
2010-03-01T01:00:00Z,3.05,3.29,3.04,3.17,348424000,517312600
2010-04-01T01:00:00Z,3.19,3.23,3,3.05,375315000,513156100
2010-05-03T01:00:00Z,3.01,3.04,2.75,2.9,484522000,497576500
2010-06-01T01:00:00Z,2.88,3.13,2.86,3.04,397483000,473738600
2010-07-01T01:00:00Z,3.02,3.17,3,3.12,378465000,463154750
2010-08-02T01:00:00Z,3.14,3.17,2.92,3.08,435450000,462859600
2010-09-01T01:00:00Z,3.08,3.17,3.03,3.14,359828000,457339300
2010-10-01T01:00:00Z,3.14,3.2,3.03,3.09,372114000,451217050
2010-11-01T01:00:00Z,3.1,3.33,3.06,3.1,500512000,448223350
2010-12-01T01:00:00Z,3.09,3.2,3.03,3.05,369453000,435579150
2011-01-03T01:00:00Z,3.07,3.16,3.03,3.1,274634000,413829200
2011-02-01T01:00:00Z,3.1,3.13,2.85,2.97,379893000,408472400
2011-03-01T01:00:00Z,2.99,3.07,2.84,3.02,531914000,406464650
2011-04-01T01:00:00Z,3.01,3.16,2.99,3.12,350502000,402501800
2011-05-02T01:00:00Z,3.12,3.24,3.04,3.21,339202000,398263600
2011-06-01T01:00:00Z,3.21,3.26,3,3.16,568707000,395772000
2011-07-01T01:00:00Z,3.16,3.37,3.14,3.36,433520000,394663300
2011-08-01T01:00:00Z,3.37,3.41,2.84,3.11,813947000,420114100
2011-09-01T01:00:00Z,3.12,3.18,3,3.18,588248000,429604550
2011-10-03T01:00:00Z,3.16,3.28,3.09,3.19,459531000,438083200
2011-11-01T01:00:00Z,3.18,3.23,3.01,3.07,452590000,443291500
2011-12-01T01:00:00Z,3.1,3.25,3.03,3.09,388279000,443939700
2012-01-02T01:00:00Z,3.11,3.16,3.02,3.1,494066000,444416900
2012-02-01T01:00:00Z,3.1,3.17,3.04,3.17,577783000,453431900
2012-03-01T01:00:00Z,3.16,3.18,3.08,3.15,367064000,452861850
2012-04-02T01:00:00Z,3.14,3.16,3.08,3.12,251715000,443675100
2012-05-01T01:00:00Z,3.12,3.26,3.02,3.1,530427000,452205050
2012-06-01T01:00:00Z,3.08,3.3,3.05,3.3,342844000,450741550
2012-07-02T01:00:00Z,3.29,3.62,3.23,3.58,455738000,448502850
2012-08-01T01:00:00Z,3.58,3.61,3.28,3.39,438919000,451976150
2012-09-03T01:00:00Z,3.36,3.39,3.16,3.2,838949000,480191900
2012-10-01T01:00:00Z,3.2,3.24,3.13,3.22,505700000,486482250
2012-11-01T01:00:00Z,3.22,3.32,3.1,3.31,491582000,484465650
2012-12-03T01:00:00Z,3.33,3.42,3.27,3.3,406162000,487248650
2013-01-01T01:00:00Z,3.32,3.5,3.27,3.5,501941000,495385600
2013-02-01T01:00:00Z,3.5,3.62,3.4,3.44,400082000,486954350
2013-03-01T01:00:00Z,3.43,3.64,3.41,3.59,388282000,484692450
2013-04-01T01:00:00Z,3.6,3.94,3.53,3.93,448390000,466414600
2013-05-01T01:00:00Z,3.92,4.09,3.7,3.75,520321000,463018250
2013-06-03T01:00:00Z,3.73,3.82,3.5,3.77,632048000,471644100
2013-07-01T01:00:00Z,3.73,3.98,3.61,3.93,361005000,467064850
2013-08-01T01:00:00Z,3.95,3.97,3.45,3.51,341048000,464703300
2013-09-02T01:00:00Z,3.52,3.87,3.43,3.73,409521000,460476050
2013-10-01T01:00:00Z,3.75,3.84,3.65,3.78,349307470,449052273.5
2013-11-01T01:00:00Z,3.78,3.85,3.66,3.72,312300000,446314073.5
2013-12-02T01:00:00Z,3.73,3.76,3.5,3.66,370425000,452249573.5
