"Company","Year","n"
"ASCENDAS REAL ESTATE INV TRUST",2015,32
"ASCENDAS REAL ESTATE INV TRUST",2016,36
"ASCENDAS REAL ESTATE INV TRUST",2017,44
"ASCENDAS REAL ESTATE INV TRUST",2018,44
"ASCENDAS REAL ESTATE INV TRUST",2019,52
"ASCENDAS REAL ESTATE INV TRUST",2020,60
"ASCENDAS REAL ESTATE INV TRUST",2021,82
"CAPITALAND INTEGRATED COMM TR",2015,9
"CAPITALAND INTEGRATED COMM TR",2016,20
"CAPITALAND INTEGRATED COMM TR",2017,24
"CAPITALAND INTEGRATED COMM TR",2018,25
"CAPITALAND INTEGRATED COMM TR",2019,26
"CAPITALAND INTEGRATED COMM TR",2020,49
"CAPITALAND INTEGRATED COMM TR",2021,58
"CAPITALAND INVESTMENT LIMITED",2015,65
"CAPITALAND INVESTMENT LIMITED",2016,68
"CAPITALAND INVESTMENT LIMITED",2017,69
"CAPITALAND INVESTMENT LIMITED",2018,75
"CAPITALAND INVESTMENT LIMITED",2019,75
"CAPITALAND INVESTMENT LIMITED",2020,86
"CAPITALAND INVESTMENT LIMITED",2021,86
"CITY DEVELOPMENTS LIMITED",2015,104
"CITY DEVELOPMENTS LIMITED",2016,104
"CITY DEVELOPMENTS LIMITED",2017,104
"CITY DEVELOPMENTS LIMITED",2018,123
"CITY DEVELOPMENTS LIMITED",2019,128
"CITY DEVELOPMENTS LIMITED",2020,3
"CITY DEVELOPMENTS LIMITED",2021,3
"COMFORTDELGRO CORPORATION LTD",2015,44
"COMFORTDELGRO CORPORATION LTD",2016,52
"COMFORTDELGRO CORPORATION LTD",2017,54
"COMFORTDELGRO CORPORATION LTD",2018,50
"COMFORTDELGRO CORPORATION LTD",2019,67
"COMFORTDELGRO CORPORATION LTD",2020,90
"COMFORTDELGRO CORPORATION LTD",2021,86
"DAIRY FARM INT'L HOLDINGS LTD",2015,1
"DAIRY FARM INT'L HOLDINGS LTD",2016,2
"DAIRY FARM INT'L HOLDINGS LTD",2017,2
"DAIRY FARM INT'L HOLDINGS LTD",2018,2
"DAIRY FARM INT'L HOLDINGS LTD",2019,4
"DAIRY FARM INT'L HOLDINGS LTD",2020,4
"DAIRY FARM INT'L HOLDINGS LTD",2021,2
"DBS GROUP HOLDINGS LTD",2015,4
"DBS GROUP HOLDINGS LTD",2016,12
"DBS GROUP HOLDINGS LTD",2017,11
"DBS GROUP HOLDINGS LTD",2018,29
"DBS GROUP HOLDINGS LTD",2019,33
"DBS GROUP HOLDINGS LTD",2020,73
"DBS GROUP HOLDINGS LTD",2021,95
"FRASERS LOGISTICS & COMMERCIAL TRUST",2017,23
"FRASERS LOGISTICS & COMMERCIAL TRUST",2018,27
"FRASERS LOGISTICS & COMMERCIAL TRUST",2019,23
"FRASERS LOGISTICS & COMMERCIAL TRUST",2020,38
"FRASERS LOGISTICS & COMMERCIAL TRUST",2021,38
"GENTING SINGAPORE LIMITED",2015,35
"GENTING SINGAPORE LIMITED",2016,41
"GENTING SINGAPORE LIMITED",2017,80
"GENTING SINGAPORE LIMITED",2018,88
"GENTING SINGAPORE LIMITED",2019,70
"GENTING SINGAPORE LIMITED",2020,70
"GENTING SINGAPORE LIMITED",2021,71
"HONGKONG LAND HOLDINGS LIMITED",2015,17
"HONGKONG LAND HOLDINGS LIMITED",2016,14
"HONGKONG LAND HOLDINGS LIMITED",2017,16
"HONGKONG LAND HOLDINGS LIMITED",2018,22
"HONGKONG LAND HOLDINGS LIMITED",2019,63
"HONGKONG LAND HOLDINGS LIMITED",2020,84
"HONGKONG LAND HOLDINGS LIMITED",2021,164
"JARDINE CYCLE & CARRIAGE LTD",2015,1
"JARDINE CYCLE & CARRIAGE LTD",2016,1
"JARDINE CYCLE & CARRIAGE LTD",2017,44
"JARDINE CYCLE & CARRIAGE LTD",2018,52
"JARDINE CYCLE & CARRIAGE LTD",2019,35
"JARDINE CYCLE & CARRIAGE LTD",2020,38
"JARDINE CYCLE & CARRIAGE LTD",2021,51
"JARDINE MATHESON HLDGS LTD",2015,2
"JARDINE MATHESON HLDGS LTD",2016,2
"JARDINE MATHESON HLDGS LTD",2017,2
"JARDINE MATHESON HLDGS LTD",2018,2
"JARDINE MATHESON HLDGS LTD",2019,2
"JARDINE MATHESON HLDGS LTD",2020,12
"JARDINE MATHESON HLDGS LTD",2021,6
"KEPPEL CORPORATION LIMITED",2015,96
"KEPPEL CORPORATION LIMITED",2016,101
"KEPPEL CORPORATION LIMITED",2017,96
"KEPPEL CORPORATION LIMITED",2018,91
"KEPPEL CORPORATION LIMITED",2019,86
"KEPPEL CORPORATION LIMITED",2020,97
"KEPPEL CORPORATION LIMITED",2021,108
"KEPPEL DC REIT",2015,4
"KEPPEL DC REIT",2016,20
"KEPPEL DC REIT",2017,16
"KEPPEL DC REIT",2018,21
"KEPPEL DC REIT",2019,19
"KEPPEL DC REIT",2020,23
"KEPPEL DC REIT",2021,28
"MAPLETREE COMMERCIAL TRUST",2015,4
"MAPLETREE COMMERCIAL TRUST",2016,4
"MAPLETREE COMMERCIAL TRUST",2017,8
"MAPLETREE COMMERCIAL TRUST",2018,16
"MAPLETREE COMMERCIAL TRUST",2019,18
"MAPLETREE COMMERCIAL TRUST",2020,24
"MAPLETREE COMMERCIAL TRUST",2021,31
"MAPLETREE INDUSTRIAL TRUST",2015,10
"MAPLETREE INDUSTRIAL TRUST",2016,14
"MAPLETREE INDUSTRIAL TRUST",2017,16
"MAPLETREE INDUSTRIAL TRUST",2018,24
"MAPLETREE INDUSTRIAL TRUST",2019,24
"MAPLETREE INDUSTRIAL TRUST",2020,36
"MAPLETREE INDUSTRIAL TRUST",2021,38
"MAPLETREE LOGISTICS TRUST",2015,2
"MAPLETREE LOGISTICS TRUST",2016,3
"MAPLETREE LOGISTICS TRUST",2017,8
"MAPLETREE LOGISTICS TRUST",2018,15
"MAPLETREE LOGISTICS TRUST",2019,15
"MAPLETREE LOGISTICS TRUST",2020,19
"MAPLETREE LOGISTICS TRUST",2021,27
"OVERSEA-CHINESE BANKING CORP",2015,7
"OVERSEA-CHINESE BANKING CORP",2016,9
"OVERSEA-CHINESE BANKING CORP",2017,12
"OVERSEA-CHINESE BANKING CORP",2018,18
"OVERSEA-CHINESE BANKING CORP",2019,18
"OVERSEA-CHINESE BANKING CORP",2020,19
"OVERSEA-CHINESE BANKING CORP",2021,51
"SATS LTD.",2015,2
"SATS LTD.",2016,1
"SATS LTD.",2017,80
"SATS LTD.",2018,79
"SATS LTD.",2019,102
"SATS LTD.",2020,82
"SATS LTD.",2021,58
"SEMBCORP INDUSTRIES LTD",2015,15
"SEMBCORP INDUSTRIES LTD",2016,30
"SEMBCORP INDUSTRIES LTD",2017,28
"SEMBCORP INDUSTRIES LTD",2018,28
"SEMBCORP INDUSTRIES LTD",2019,15
"SEMBCORP INDUSTRIES LTD",2020,10
"SEMBCORP INDUSTRIES LTD",2021,10
"SINGAPORE AIRLINES LTD",2015,47
"SINGAPORE AIRLINES LTD",2016,46
"SINGAPORE AIRLINES LTD",2017,46
"SINGAPORE AIRLINES LTD",2018,59
"SINGAPORE AIRLINES LTD",2019,68
"SINGAPORE AIRLINES LTD",2020,139
"SINGAPORE AIRLINES LTD",2021,169
"SINGAPORE EXCHANGE LIMITED",2015,4
"SINGAPORE EXCHANGE LIMITED",2016,11
"SINGAPORE EXCHANGE LIMITED",2017,12
"SINGAPORE EXCHANGE LIMITED",2018,12
"SINGAPORE EXCHANGE LIMITED",2019,12
"SINGAPORE EXCHANGE LIMITED",2020,14
"SINGAPORE EXCHANGE LIMITED",2021,34
"SINGAPORE TECH ENGINEERING LTD",2015,19
"SINGAPORE TECH ENGINEERING LTD",2016,17
"SINGAPORE TECH ENGINEERING LTD",2017,17
"SINGAPORE TECH ENGINEERING LTD",2018,16
"SINGAPORE TECH ENGINEERING LTD",2019,24
"SINGAPORE TECH ENGINEERING LTD",2020,55
"SINGAPORE TECH ENGINEERING LTD",2021,89
"SINGTEL",2015,56
"SINGTEL",2016,56
"SINGTEL",2017,68
"SINGTEL",2018,61
"SINGTEL",2019,62
"SINGTEL",2020,65
"SINGTEL",2021,74
"THAI BEVERAGE PUBLIC CO LTD",2015,140
"THAI BEVERAGE PUBLIC CO LTD",2016,84
"THAI BEVERAGE PUBLIC CO LTD",2017,154
"THAI BEVERAGE PUBLIC CO LTD",2018,191
"THAI BEVERAGE PUBLIC CO LTD",2019,232
"THAI BEVERAGE PUBLIC CO LTD",2020,240
"THAI BEVERAGE PUBLIC CO LTD",2021,276
"UNITED OVERSEAS BANK LTD",2015,18
"UNITED OVERSEAS BANK LTD",2016,20
"UNITED OVERSEAS BANK LTD",2017,33
"UNITED OVERSEAS BANK LTD",2018,42
"UNITED OVERSEAS BANK LTD",2019,72
"UNITED OVERSEAS BANK LTD",2020,110
"UNITED OVERSEAS BANK LTD",2021,132
"UOL GROUP LIMITED",2015,70
"UOL GROUP LIMITED",2016,28
"UOL GROUP LIMITED",2017,74
"UOL GROUP LIMITED",2018,38
"UOL GROUP LIMITED",2019,37
"UOL GROUP LIMITED",2020,62
"UOL GROUP LIMITED",2021,70
"VENTURE CORPORATION LIMITED",2017,24
"VENTURE CORPORATION LIMITED",2018,30
"VENTURE CORPORATION LIMITED",2019,33
"VENTURE CORPORATION LIMITED",2020,38
"VENTURE CORPORATION LIMITED",2021,34
"WILMAR INTERNATIONAL LIMITED",2015,83
"WILMAR INTERNATIONAL LIMITED",2016,82
"WILMAR INTERNATIONAL LIMITED",2017,103
"WILMAR INTERNATIONAL LIMITED",2018,119
"WILMAR INTERNATIONAL LIMITED",2019,81
"WILMAR INTERNATIONAL LIMITED",2020,121
"WILMAR INTERNATIONAL LIMITED",2021,123
"YANGZIJIANG SHIPBLDG HLDGS LTD",2015,4
"YANGZIJIANG SHIPBLDG HLDGS LTD",2016,4
"YANGZIJIANG SHIPBLDG HLDGS LTD",2017,5
"YANGZIJIANG SHIPBLDG HLDGS LTD",2018,3
"YANGZIJIANG SHIPBLDG HLDGS LTD",2019,40
"YANGZIJIANG SHIPBLDG HLDGS LTD",2020,36
"YANGZIJIANG SHIPBLDG HLDGS LTD",2021,40
