"","topic","term","beta"
"1",1,"singapore",0.0233333091900158
"2",1,"keppel",0.0222830748791196
"3",1,"community",0.020565450291841
"4",1,"support",0.0142278294502256
"5",1,"programme",0.0107460181633627
"6",1,"children",0.0104873397616641
"7",1,"social",0.00976304023690803
"8",1,"also",0.00970095742050037
"9",1,"group",0.00853173104482276
"10",1,"communities",0.00785916720040643
"11",1,"education",0.00784882006433849
"12",1,"singtel",0.00761083593477579
"13",1,"year",0.007207297628126
"14",1,"million",0.00620879899756946
"15",1,"students",0.00603807125244839
"16",1,"centre",0.00542241665640576
"17",1,"help",0.00510682900633348
"18",1,"people",0.00489471271694064
"19",1,"programmes",0.00486884487677078
"20",1,"school",0.00483780346856695
"21",1,"since",0.00478606778822723
"22",1,"national",0.00478089422019327
"23",1,"staff",0.00456360436276645
"24",1,"art",0.00439287661764538
"25",1,"care",0.00425319028072815
"26",1,"event",0.00407728896757311
"27",1,"foundation",0.00404107399133531
"28",1,"cycle",0.00394794976672382
"29",1,"carriage",0.0038599991101463
"30",1,"volunteers",0.00385482554211233
"31",1,"initiatives",0.00379274272570467
"32",1,"activities",0.00368409779699126
"33",1,"efforts",0.00366857709288935
"34",1,"organised",0.00357545286827785
"35",1,"part",0.00351854361990416
"36",1,"fund",0.00349267577973431
"37",1,"well",0.00345646080349651
"38",1,"across",0.00343059296332665
"39",1,"supporting",0.00335816301085104
"40",1,"award",0.00328055949034147
"41",1,"local",0.00325469165017161
"42",1,"volunteer",0.00323399737803572
"43",1,"partnership",0.00319260883376395
"44",1,"special",0.00315639385752614
"45",1,"day",0.00313569958539026
"46",1,"uob",0.00313569958539026
"47",1,"corporation",0.00308396390505054
"48",1,"together",0.00303222822471082
"49",1,"families",0.00303222822471082
"50",1,"jardine",0.00301670752060891
"51",2,"thaibev",0.0333343655367909
"52",2,"company",0.0201931252669214
"53",2,"development",0.0164191313749853
"54",2,"public",0.0161094703376983
"55",2,"project",0.0145160062499919
"56",2,"community",0.0114129446055112
"57",2,"thai",0.0108000738025472
"58",2,"business",0.0100517262957702
"59",2,"beverage",0.00949691693729751
"60",2,"thailand",0.00890985122077413
"61",2,"products",0.00876792324535089
"62",2,"limited",0.00823891897331883
"63",2,"communities",0.00674867523137486
"64",2,"quality",0.0058906561072253
"65",2,"people",0.00560034888476868
"66",2,"activities",0.00555518998349765
"67",2,"production",0.00544551836612515
"68",2,"can",0.00531004166231206
"69",2,"food",0.00529068784748162
"70",2,"product",0.00522617513138014
"71",2,"society",0.00522617513138014
"72",2,"social",0.00518101623010912
"73",2,"projects",0.00512295478561779
"74",2,"value",0.00503263698307574
"75",2,"knowledge",0.00496812426697426
"76",2,"packaging",0.00455524288392485
"77",2,"develop",0.00445847380977264
"78",2,"create",0.00442621745172191
"79",2,"culture",0.00423267930341749
"80",2,"also",0.00409720259960441
"81",2,"sustainable",0.00399398225384205
"82",2,"various",0.00398753098223191
"83",2,"order",0.00394237208096088
"84",2,"asean",0.00390366445129999
"85",2,"program",0.0038907619080797
"86",2,"good",0.00375528520426661
"87",2,"income",0.00361335722884338
"88",2,"consumers",0.00351013688308102
"89",2,"sales",0.00349078306825058
"90",2,"support",0.0034520754385897
"91",2,"life",0.00338756272248823
"92",2,"sharing",0.00336820890765779
"93",2,"organization",0.00333595254960705
"94",2,"province",0.00333595254960705
"95",2,"local",0.00331659873477661
"96",2,"world",0.00321982966062441
"97",2,"will",0.00321337838901426
"98",2,"process",0.00306499914198088
"99",2,"creating",0.00294242498138808
"100",2,"baht",0.00287791226528661
"101",3,"energy",0.0501682972006741
"102",3,"water",0.0456742967153029
"103",3,"emissions",0.033194692379192
"104",3,"waste",0.0284944570796575
"105",3,"consumption",0.0206143687152338
"106",3,"intensity",0.0155304407381863
"107",3,"carbon",0.015165932694549
"108",3,"ghg",0.0147966284924427
"109",3,"total",0.0129596997988491
"110",3,"use",0.0127198918754035
"111",3,"scope",0.0125999879136807
"112",3,"reduce",0.0115112599412375
"113",3,"data",0.0112714520177918
"114",3,"reduction",0.010820613121714
"115",3,"year",0.0101251701437217
"116",3,"environmental",0.00997169307271648
"117",3,"efficiency",0.00852325321510483
"118",3,"electricity",0.00817792980534311
"119",3,"used",0.00773668322620314
"120",3,"tonnes",0.00736258286562795
"121",3,"gas",0.00667193604610451
"122",3,"per",0.0066671398876356
"123",3,"renewable",0.0065184589750993
"124",3,"operations",0.00588536605720282
"125",3,"recycling",0.00543452716112502
"126",3,"usage",0.00526666161471308
"127",3,"million",0.00510359222677004
"128",3,"emission",0.00470071491538137
"129",3,"greenhouse",0.00468153028150572
"130",3,"solar",0.00465275333069225
"131",3,"direct",0.00427865297011706
"132",3,"efficient",0.0042594683362414
"133",3,"materials",0.00420191443461445
"134",3,"fuel",0.00419711827614554
"135",3,"reducing",0.00416354516686315
"136",3,"savings",0.00405323352207816
"137",3,"environment",0.00397169882810664
"138",3,"sources",0.00396210651116881
"139",3,"kwh",0.00394292187729316
"140",3,"based",0.00383740639097708
"141",3,"compared",0.00378944480628795
"142",3,"paper",0.0037702601724123
"143",3,"air",0.00374627938006774
"144",3,"power",0.00365035621068949
"145",3,"indirect",0.00362637541834492
"146",3,"recycled",0.00359759846753144
"147",3,"initiatives",0.00358800615059362
"148",3,"generated",0.00331462511786559
"149",3,"using",0.00330982895939668
"150",3,"footprint",0.00328584816705212
"151",4,"sustainability",0.0289178768494907
"152",4,"group",0.0270404726916483
"153",4,"board",0.0255592593392978
"154",4,"management",0.0159966539885609
"155",4,"corporate",0.0141192498307185
"156",4,"company",0.0135744874731671
"157",4,"committee",0.0130657424615695
"158",4,"performance",0.0130207207791272
"159",4,"assurance",0.0120977762890608
"160",4,"governance",0.0119672134099782
"161",4,"information",0.0106435759461757
"162",4,"business",0.00973864012908617
"163",4,"directors",0.00898677803230035
"164",4,"financial",0.008243920272003
"165",4,"executive",0.00782972079353416
"166",4,"issues",0.00764963406376511
"167",4,"independent",0.00743803215628647
"168",4,"limited",0.00678971992911786
"169",4,"review",0.00670417873247756
"170",4,"annual",0.00662313970408148
"171",4,"key",0.00660963319934881
"172",4,"internal",0.00628997925400873
"173",4,"data",0.00551560631600178
"174",4,"director",0.00537603910043077
"175",4,"non",0.00536253259569809
"176",4,"matters",0.00482677457463514
"177",4,"shareholders",0.00466469651784299
"178",4,"also",0.0046151726671565
"179",4,"engagement",0.00450261846105084
"180",4,"risk",0.00449811629280662
"181",4,"relevant",0.00442608160089899
"182",4,"including",0.00439006425494518
"183",4,"year",0.00430002089006065
"184",4,"stakeholders",0.00420997752517612
"185",4,"based",0.00408841898258201
"186",4,"level",0.00379127587846307
"187",4,"may",0.00367872167235741
"188",4,"chairman",0.00361569131693824
"189",4,"keppel",0.00359318047571711
"190",4,"ceo",0.00355266096151907
"191",4,"external",0.00347612410136722
"192",4,"share",0.00340408940945959
"193",4,"identified",0.00339058290472692
"194",4,"process",0.00335456555877311
"195",4,"accordance",0.00332305038106352
"196",4,"member",0.0031834831654925
"197",4,"manager",0.00316997666075982
"198",4,"strategic",0.0031654744925156
"199",4,"senior",0.00311144847358488
"200",4,"remuneration",0.00310244413709643
"201",5,"wilmar",0.0206915451552361
"202",5,"suppliers",0.0172931005185822
"203",5,"supply",0.0154214007468913
"204",5,"international",0.0152616994011838
"205",5,"limited",0.0128342389464311
"206",5,"operations",0.012380687124622
"207",5,"oil",0.0121954335636014
"208",5,"chain",0.0117163295264791
"209",5,"palm",0.0111286285742758
"210",5,"sustainability",0.0101320921770615
"211",5,"indonesia",0.00854146677381562
"212",5,"supplier",0.00714887103924692
"213",5,"areas",0.00682308029400379
"214",5,"also",0.00659311035618511
"215",5,"rights",0.00629925988008346
"216",5,"malaysia",0.00628648377242686
"217",5,"conservation",0.00613955853437603
"218",5,"mills",0.00607567799609307
"219",5,"local",0.00606928994226477
"220",5,"procurement",0.00567961865873867
"221",5,"sugar",0.005622126174284
"222",5,"workers",0.00553269342068784
"223",5,"area",0.00508552965270707
"224",5,"australia",0.00504081327590899
"225",5,"certification",0.00498970884528261
"226",5,"land",0.00479167917660541
"227",5,"plantations",0.00438284373159442
"228",5,"process",0.00411454547080596
"229",5,"new",0.00410176936314936
"230",5,"biodiversity",0.00403788882486639
"231",5,"will",0.0040187246633815
"232",5,"high",0.00384624721001749
"233",5,"use",0.00383985915618919
"234",5,"certified",0.00377597861790623
"235",5,"including",0.00374403834876474
"236",5,"policy",0.00373765029493644
"237",5,"working",0.00361627727219881
"238",5,"sustainable",0.00353962062625925
"239",5,"within",0.00352045646477435
"240",5,"labour",0.00348212814180457
"241",5,"rspo",0.00309884491210677
"242",5,"practices",0.00306051658913699
"243",5,"quality",0.00304135242765209
"244",5,"products",0.0030349643738238
"245",5,"food",0.0030285763199955
"246",5,"mill",0.00296469578171253
"247",5,"species",0.00295191967405594
"248",5,"sourcing",0.00291997940491446
"249",5,"based",0.00289442718960127
"250",5,"forest",0.00288803913577297
"251",6,"gri",0.0504430061908344
"252",6,"management",0.0433634505306281
"253",6,"approach",0.0415714217248069
"254",6,"sustainability",0.0338563209648616
"255",6,"page",0.0263600144195806
"256",6,"material",0.0226353033842256
"257",6,"environmental",0.0144565672646347
"258",6,"governance",0.0141023290123212
"259",6,"capital",0.0122113218712948
"260",6,"social",0.0121592280106605
"261",6,"health",0.0116643363346343
"262",6,"stakeholder",0.0113205168544477
"263",6,"economic",0.0108568814948021
"264",6,"disclosure",0.0100963111295408
"265",6,"topic",0.00978895735179817
"266",6,"index",0.00961183822564143
"267",6,"annual",0.00942430032735782
"268",6,"safety",0.00936699708066004
"269",6,"content",0.00928364690364511
"270",6,"engagement",0.00917945918237644
"271",6,"human",0.00913778409386897
"272",6,"organisation",0.00902317760047343
"273",6,"disclosures",0.00884084908825325
"274",6,"evaluation",0.00873666136698458
"275",6,"materiality",0.00851786715232036
"276",6,"topics",0.0084605639056226
"277",6,"standards",0.00831991048190988
"278",6,"pages",0.00788753143864489
"279",6,"compliance",0.00776771555918592
"280",6,"environment",0.00772604047067845
"281",6,"components",0.00746557116750676
"282",6,"boundary",0.00703840151030521
"283",6,"significant",0.00681960729564099
"284",6,"stakeholders",0.00650704413183497
"285",6,"explanation",0.00627783114504389
"286",6,"information",0.00623615605653643
"287",6,"com",0.00615801526558492
"288",6,"non",0.00609550263282372
"289",6,"impacts",0.00606945570250655
"290",6,"number",0.00600173368368191
"291",6,"chain",0.00571521745019306
"292",6,"assessment",0.00544432937489451
"293",6,"www",0.00523595393235717
"294",6,"performance",0.00512134743896162
"295",6,"local",0.00507967235045415
"296",6,"external",0.00506404419226385
"297",6,"general",0.00491818138248771
"298",6,"services",0.00489734383823398
"299",6,"people",0.00487129690791681
"300",6,"corruption",0.00485566874972651
"301",7,"capitaland",0.0273161486562079
"302",7,"green",0.0257266158680787
"303",7,"building",0.0240429295698514
"304",7,"singapore",0.0235389313687373
"305",7,"cdl",0.0190306397675627
"306",7,"properties",0.0176072602325481
"307",7,"property",0.0124066634100629
"308",7,"reit",0.0112491290800316
"309",7,"tenants",0.00991436461334476
"310",7,"environmental",0.00945467394639453
"311",7,"construction",0.00937713576160774
"312",7,"buildings",0.00898390639590332
"313",7,"manager",0.00808667882908479
"314",7,"land",0.00757160374442971
"315",7,"portfolio",0.00755498841911826
"316",7,"integrated",0.00734452763183983
"317",7,"design",0.00718391282049578
"318",7,"development",0.00712852840279093
"319",7,"mark",0.00705099021800414
"320",7,"office",0.00697345203321736
"321",7,"ascendas",0.00684052943072572
"322",7,"award",0.00672422215354555
"323",7,"commercial",0.00665776085229973
"324",7,"projects",0.00644176162325082
"325",7,"business",0.00635314655492307
"326",7,"developments",0.00597099407275962
"327",7,"capital",0.00593222498036622
"328",7,"awards",0.00581037926141556
"329",7,"bca",0.00581037926141556
"330",7,"hongkong",0.00561099535767811
"331",7,"performance",0.0055777647070552
"332",7,"real",0.00528976573498999
"333",7,"certification",0.00525653508436708
"334",7,"sustainability",0.00501838208823624
"335",7,"management",0.00496853611230188
"336",7,"estate",0.00494638234521994
"337",7,"one",0.00489653636928557
"338",7,"since",0.00471930623263006
"339",7,"quality",0.00467499869846618
"340",7,"hong",0.00454761453774504
"341",7,"system",0.00454207609597455
"342",7,"industrial",0.00449223012004019
"343",7,"iso",0.00439253816817146
"344",7,"global",0.00435930751754855
"345",7,"corporate",0.00434823063400758
"346",7,"environment",0.00420976958974547
"347",7,"certified",0.00420423114797498
"348",7,"kong",0.00418207738089304
"349",7,"excellence",0.00417653893912256
"350",7,"council",0.00406577010371286
"351",8,"singapore",0.0338386948135885
"352",8,"sia",0.0170793966652667
"353",8,"airlines",0.0127230665302
"354",8,"sats",0.0110036413754858
"355",8,"comfortdelgro",0.0103512112772542
"356",8,"connecting",0.0103376189835411
"357",8,"sustainability",0.0101881037526964
"358",8,"food",0.0098686848504372
"359",8,"new",0.00973955806016221
"360",8,"also",0.00907353566821754
"361",8,"services",0.0075308103317743
"362",8,"resources",0.00698032243639147
"363",8,"communities",0.00686478793982963
"364",8,"will",0.00685799179297306
"365",8,"operations",0.00670847656212833
"366",8,"safety",0.00623954242902444
"367",8,"people",0.00617837710731524
"368",8,"flight",0.00597449270161789
"369",8,"first",0.00596090040790473
"370",8,"crew",0.00546478168737453
"371",8,"fleet",0.00507740131654957
"372",8,"transport",0.00505021672912326
"373",8,"aircraft",0.00498225526055747
"374",8,"future",0.00497545911370089
"375",8,"technology",0.00489390535142196
"376",8,"air",0.0047240016800075
"377",8,"engineering",0.00470361323943777
"378",8,"bus",0.00423467910633387
"379",8,"introduction",0.00415992149091151
"380",8,"cabin",0.00405797928806284
"381",8,"ground",0.0039764255257839
"382",8,"ltd",0.00388127946979181
"383",8,"system",0.00373176423894708
"384",8,"service",0.00349389909896685
"385",8,"vehicles",0.00347351065839712
"386",8,"statement",0.00346671451154054
"387",8,"australia",0.00341914148354449
"388",8,"ensuring",0.00335118001497871
"389",8,"ensure",0.00333758772126555
"390",8,"focus",0.00333758772126555
"391",8,"passenger",0.00328321854641292
"392",8,"aviation",0.00326283010584319
"393",8,"china",0.00323564551841688
"394",8,"fuel",0.00321525707784714
"395",8,"infrastructure",0.00321525707784714
"396",8,"world",0.00314729560928136
"397",8,"travel",0.00308613028757216
"398",8,"annex",0.00308613028757216
"399",8,"framework",0.00305214955328927
"400",8,"treasuring",0.00305214955328927
"401",9,"sustainability",0.0253865666720583
"402",9,"sustainable",0.022785348571002
"403",9,"climate",0.0167936040362817
"404",9,"business",0.0149778060494457
"405",9,"esg",0.012574887086138
"406",9,"global",0.011031264386408
"407",9,"financial",0.0104558080650981
"408",9,"impact",0.00970927013475009
"409",9,"change",0.00915714312376354
"410",9,"value",0.00895884398601486
"411",9,"strategy",0.00884608565278521
"412",9,"customers",0.00850003421632181
"413",9,"growth",0.00778849025145886
"414",9,"will",0.00758241467693571
"415",9,"responsible",0.00745021525176992
"416",9,"risks",0.00686698249368553
"417",9,"opportunities",0.00664146582722624
"418",9,"development",0.0065170428388349
"419",9,"stakeholders",0.00630319082753729
"420",9,"businesses",0.00626042042527777
"421",9,"term",0.00611655634495029
"422",9,"future",0.00578605778203581
"423",9,"environmental",0.00565385835687001
"424",9,"long",0.00557998220751266
"425",9,"across",0.00551388249492976
"426",9,"bank",0.00534280088589168
"427",9,"uob",0.00532335979395553
"428",9,"investment",0.0052922540468577
"429",9,"targets",0.00512117243781961
"430",9,"related",0.00509395490910901
"431",9,"goals",0.00507451381717286
"432",9,"financing",0.00486066180587526
"433",9,"economic",0.00482177962200296
"434",9,"solutions",0.00475567990942006
"435",9,"sdgs",0.00465847444973933
"436",9,"social",0.00447183996715233
"437",9,"dbs",0.00441740490973112
"438",9,"committed",0.00438241094424606
"439",9,"key",0.00434741697876099
"440",9,"continue",0.00430075835811424
"441",9,"innovation",0.00425409973746749
"442",9,"risk",0.00417244715133568
"443",9,"industry",0.0039624833584253
"444",9,"approach",0.00389638364584241
"445",9,"banking",0.00388083077229349
"446",9,"drive",0.00382639571487228
"447",9,"practices",0.00381084284132336
"448",9,"carbon",0.00370586094486817
"449",9,"companies",0.00366309054260865
"450",9,"framework",0.00365142588744696
"451",9,"tax",0.00365142588744696
"452",10,"employees",0.055561926057583
"453",10,"employee",0.0274255421031788
"454",10,"work",0.0226901355961357
"455",10,"training",0.0221804954339427
"456",10,"total",0.0160064172190423
"457",10,"hours",0.0137395802476214
"458",10,"rate",0.0136387139655207
"459",10,"group",0.012757461185062
"460",10,"number",0.0127521524333725
"461",10,"per",0.0113240982288943
"462",10,"development",0.0111011306579348
"463",10,"staff",0.0109949556241446
"464",10,"years",0.0107295180396691
"465",10,"employment",0.0106445780126369
"466",10,"female",0.00986419151427895
"467",10,"performance",0.0095244314061503
"468",10,"new",0.00946072638587617
"469",10,"people",0.00919528880140066
"470",10,"management",0.00918998004971115
"471",10,"gender",0.00890861621016711
"472",10,"talent",0.008595399860486
"473",10,"workplace",0.0084361373098007
"474",10,"workforce",0.00837243228952657
"475",10,"male",0.0081760084770147
"476",10,"age",0.00771945583171682
"477",10,"human",0.00758142828778955
"478",10,"learning",0.00744340074386228
"479",10,"average",0.00703462686377
"480",10,"diversity",0.00649313419143995
"481",10,"time",0.00635510664751269
"482",10,"health",0.00627547537217004
"483",10,"skills",0.0062011528485169
"484",10,"related",0.00618522659344836
"485",10,"non",0.00599411153262599
"486",10,"based",0.00570743894139244
"487",10,"career",0.00564373392111832
"488",10,"turnover",0.00552694138394909
"489",10,"leadership",0.00529335630961064
"490",10,"senior",0.00523496004102603
"491",10,"old",0.00511816750385681
"492",10,"injury",0.00500668371837709
"493",10,"leave",0.00498013995992954
"494",10,"fair",0.00494297869810297
"495",10,"days",0.00485803867107081
"496",10,"programmes",0.00474124613390158
"497",10,"benefits",0.00472001112714354
"498",10,"singapore",0.0046987761203855
"499",10,"hires",0.00465099735517991
"500",10,"injuries",0.0045448223213897
"501",10,"year",0.00446519104604705
"502",11,"customers",0.0126858251838123
"503",11,"customer",0.0125559592366376
"504",11,"service",0.011127433817716
"505",11,"engagement",0.0102495400148151
"506",11,"team",0.00992227782793489
"507",11,"also",0.0089612698188422
"508",11,"well",0.00873270575181474
"509",11,"digital",0.00851972559844826
"510",11,"covid",0.00810415456748925
"511",11,"feedback",0.00669640770011563
"512",11,"members",0.00643148116787927
"513",11,"key",0.00637953478900939
