FilePath,DocumentName,Company,Year,Report
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\ASCENDAS REAL ESTATE INV TRUST_2015_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST_2015_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST,2015,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\ASCENDAS REAL ESTATE INV TRUST_2016_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST_2016_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST,2016,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\ASCENDAS REAL ESTATE INV TRUST_2017_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST_2017_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST,2017,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\ASCENDAS REAL ESTATE INV TRUST_2018_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST_2018_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST,2018,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\ASCENDAS REAL ESTATE INV TRUST_2019_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST_2019_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST,2019,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\ASCENDAS REAL ESTATE INV TRUST_2020_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST_2020_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST,2020,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\ASCENDAS REAL ESTATE INV TRUST_2021_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST_2021_SUS.pdf,ASCENDAS REAL ESTATE INV TRUST,2021,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INTEGRATED COMM TR_2015_SUS.pdf,CAPITALAND INTEGRATED COMM TR_2015_SUS.pdf,CAPITALAND INTEGRATED COMM TR,2015,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INTEGRATED COMM TR_2016_SUS.pdf,CAPITALAND INTEGRATED COMM TR_2016_SUS.pdf,CAPITALAND INTEGRATED COMM TR,2016,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INTEGRATED COMM TR_2017_SUS.pdf,CAPITALAND INTEGRATED COMM TR_2017_SUS.pdf,CAPITALAND INTEGRATED COMM TR,2017,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INTEGRATED COMM TR_2018_SUS.pdf,CAPITALAND INTEGRATED COMM TR_2018_SUS.pdf,CAPITALAND INTEGRATED COMM TR,2018,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INTEGRATED COMM TR_2019_SUS.pdf,CAPITALAND INTEGRATED COMM TR_2019_SUS.pdf,CAPITALAND INTEGRATED COMM TR,2019,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INTEGRATED COMM TR_2020_SUS.pdf,CAPITALAND INTEGRATED COMM TR_2020_SUS.pdf,CAPITALAND INTEGRATED COMM TR,2020,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INTEGRATED COMM TR_2021_SUS.pdf,CAPITALAND INTEGRATED COMM TR_2021_SUS.pdf,CAPITALAND INTEGRATED COMM TR,2021,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INVESTMENT LIMITED_2015_SUS.pdf,CAPITALAND INVESTMENT LIMITED_2015_SUS.pdf,CAPITALAND INVESTMENT LIMITED,2015,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INVESTMENT LIMITED_2016_SUS.pdf,CAPITALAND INVESTMENT LIMITED_2016_SUS.pdf,CAPITALAND INVESTMENT LIMITED,2016,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INVESTMENT LIMITED_2017_SUS.pdf,CAPITALAND INVESTMENT LIMITED_2017_SUS.pdf,CAPITALAND INVESTMENT LIMITED,2017,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INVESTMENT LIMITED_2018_SUS.pdf,CAPITALAND INVESTMENT LIMITED_2018_SUS.pdf,CAPITALAND INVESTMENT LIMITED,2018,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INVESTMENT LIMITED_2019_SUS.pdf,CAPITALAND INVESTMENT LIMITED_2019_SUS.pdf,CAPITALAND INVESTMENT LIMITED,2019,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INVESTMENT LIMITED_2020_SUS.pdf,CAPITALAND INVESTMENT LIMITED_2020_SUS.pdf,CAPITALAND INVESTMENT LIMITED,2020,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CAPITALAND INVESTMENT LIMITED_2021_SUS.pdf,CAPITALAND INVESTMENT LIMITED_2021_SUS.pdf,CAPITALAND INVESTMENT LIMITED,2021,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CITY DEVELOPMENTS LIMITED_2015_SUS.pdf,CITY DEVELOPMENTS LIMITED_2015_SUS.pdf,CITY DEVELOPMENTS LIMITED,2015,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CITY DEVELOPMENTS LIMITED_2016_SUS.pdf,CITY DEVELOPMENTS LIMITED_2016_SUS.pdf,CITY DEVELOPMENTS LIMITED,2016,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CITY DEVELOPMENTS LIMITED_2017_SUS.pdf,CITY DEVELOPMENTS LIMITED_2017_SUS.pdf,CITY DEVELOPMENTS LIMITED,2017,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CITY DEVELOPMENTS LIMITED_2018_SUS.pdf,CITY DEVELOPMENTS LIMITED_2018_SUS.pdf,CITY DEVELOPMENTS LIMITED,2018,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CITY DEVELOPMENTS LIMITED_2019_SUS.pdf,CITY DEVELOPMENTS LIMITED_2019_SUS.pdf,CITY DEVELOPMENTS LIMITED,2019,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CITY DEVELOPMENTS LIMITED_2020_SUS.pdf,CITY DEVELOPMENTS LIMITED_2020_SUS.pdf,CITY DEVELOPMENTS LIMITED,2020,SUS
C:\Users\Jeremy Chia\Documents\GitHub\NLP-SustainabilityReports-FinancialPerformance\Sustainability Reports or Annual Reports\CITY DEVELOPMENTS LIMITED_2021_SUS.pdf,CITY DEVELOPMENTS LIMITED_2021_SUS.pdf,CITY DEVELOPMENTS LIMITED,2021,SUS
